id_festival,date_debut,date_fin,lieu_principal,nb_pass_dispo,nb_pas_indispo,nb_pass_total,nom,site_web,status,tarif_pass,commune,domaine,sous_domaine
70,2024-06-15,2024-06-17,RUOMS,,,155,ARDÈCHE ALUNA FESTIVAL,www.aluna-festival.fr,,31,07201,MUSIQUES ACTUELLES,MUSIQUES AMPLIFIÉES OU ÉLECTRONIQUES
71,2024-07-21,2024-07-22,Argelliers,,,196,Argelliers Jazz Estival,www.argelliersjazzestival.wordpress.com,,13,34012,MUSIQUES ACTUELLES,"JAZZ, BLUES ET MUSIQUES IMPROVISÉES"
72,2024-06-06,2024-06-16,ROUEN,,,197,ARMADA DE ROUEN,https://www.armada.org/,,31,76540,TRANSDISCIPLINAIRE,TRANSDISCIPLINAIRE
73,2024-10-06,2024-10-07,ST BRIEUC,,,188,ARMOR DE RIRE,http://armor-de-rire.net-helium.fr/,,12,22278,DIVERS SPECTACLE VIVANT,HUMOUR
74,2024-03-08,2024-03-10,ARRAS,,,83,ARRAS COMEDY FESTIVAL,www.arras.fr/fr/actualites/arras-comedy-festival,,30,62041,DIVERS SPECTACLE VIVANT,HUMOUR
75,2024-06-04,2024-10-08,GOVILLER,,,129,Art contemporain en milieu rural,https://www.galerie-tem.fr/,,18,54235,ARTS PLASTIQUES ET VISUELS,ARTS PLASTIQUES ET VISUELS
76,2024-01-22,2024-02-07,DIJON,,,211,Art Danse,https://art-danse.org/,,8,21231,DANSE,DANSE CONTEMPORAINE
77,2024-10-01,2024-10-01,STE VERTU,,,197,ART N JAZZ FESTIVAL,http://www.art-n-jazz.com,,34,89371,MUSIQUES ACTUELLES,"JAZZ, BLUES ET MUSIQUES IMPROVISÉES"
78,2024-06-07,2024-06-09,ST BRIEUC,,,244,ART ROCK,www.artrock.org,,23,22278,PLURIDISCIPLINAIRE SPECTACLE VIVANT,PLURIDISCIPLINAIRE SPECTACLE VIVANT
79,2024-07-21,2024-07-22,BRIOUZE,,,107,ART SONIC,www.festival-artsonic.com,,31,61063,MUSIQUES ACTUELLES,MUSIQUES ACTUELLES
80,2024-02-29,2024-03-03,LILLE,,,245,Art Up !,https://lille.art-up.com/,,34,59350,ARTS PLASTIQUES ET VISUELS,ARTS PLASTIQUES ET VISUELS
81,2024-10-07,2024-10-14,BASTIA,,,75,Arte Mare - Festival du film méditerranéen de Bastia,www.arte-mare.corsica,,11,2B033,CINÉMA ET AUDIOVISUEL,CINÉMAS ÉTRANGERS
82,2024-10-28,2024-11-05,ALBI,,,87,ARTETANGO,www.artetango-festival.com,,35,81004,PLURIDISCIPLINAIRE SPECTACLE VIVANT,DANSE ET MUSIQUE
83,2024-09-22,2024-09-23,GRANDVILLIERS,,,253,ARTHUR'S DAY FESTIVAL,www.arthurs-day-festival.com,,35,60286,MUSIQUES ACTUELLES,MUSIQUES AMPLIFIÉES OU ÉLECTRONIQUES
84,2024-03-05,2024-04-06,Bethune,,,247,ARTIMINI,www.ville-bethune.fr,,15,62119,PLURIDISCIPLINAIRE SPECTACLE VIVANT,JEUNE PUBLIC
85,2024-07-09,2024-07-09,VIHIERS,,,232,ARTIST'O CHAMPS,www.artistochamps.jimdo.com,,35,49373,MUSIQUES ACTUELLES,MUSIQUES AMPLIFIÉES OU ÉLECTRONIQUES
86,2024-10-04,2024-10-08,VERGEZE,,,160,Art'Pantin Forum Régional de la Marionnette,https://arema-lr.fr/,,24,30344,DIVERS SPECTACLE VIVANT,MARIONNETTES
87,2024-07-13,2024-08-17,AUDIERNE,,,151,ARTS À LA POINTE,www.artsalapointe.com,,35,29003,MUSIQUES ACTUELLES,MUSIQUES ACTUELLES
88,2024-06-02,2024-06-11,LYON,,,205,ARTS EN JAZZ A COURS ET JARDINS,,,35,69381,MUSIQUES ACTUELLES,"JAZZ, BLUES ET MUSIQUES IMPROVISÉES"
89,2024-05-12,2024-05-13,Brassac les Mines,,,288,ARVERNE REGGAE FESTIVAL,http://arvernereggaefest.wixsite.com/arverne-reggae-fest,,15,63050,MUSIQUES ACTUELLES,MUSIQUES AMPLIFIÉES OU ÉLECTRONIQUES
90,2024-05-29,2024-05-30,Plemy,,,227,ASCENSION DU SON,www.ascensionduson.com,,34,22184,MUSIQUES ACTUELLES,MUSIQUES ACTUELLES
91,2024-03-19,2024-03-24,CAEN,,,182,Aspects des musiques d'aujourd'hui,http://www.orchestredecaen.fr/,,21,14118,MUSIQUES CLASSIQUES,MUSIQUE CONTEMPORAINE
92,2024-11-08,2024-11-10,ARLES,,,51,Assises de la traduction littéraire,www.atlas-citl.org,,25,13004,LIVRE ET LITTÉRATURE,TRADUCTION
93,2024-05-20,2024-05-26,LYON,,,209,Assises internationales du roman,http://www.villagillet.net/festivals/assises-internationales-du-roman,,35,69381,LIVRE ET LITTÉRATURE,LIVRE ET LITTÉRATURE
94,2024-07-07,2024-07-09,BREST,,,294,ASTROPOLIS,www.astropolis.org,,21,29019,MUSIQUES ACTUELLES,MUSIQUES AMPLIFIÉES OU ÉLECTRONIQUES
95,2024-02-06,2024-02-11,BREST,,,58,ASTROPOLIS L'HIVER,,,21,29019,MUSIQUES ACTUELLES,MUSIQUES AMPLIFIÉES OU ÉLECTRONIQUES
96,2024-05-25,2024-06-01,MESLAY DU MAINE,,,91,ATELIERS JAZZ DE MESLAY-GREZ,www.festivaljazz-meslay.com,,22,53152,MUSIQUES ACTUELLES,"JAZZ, BLUES ET MUSIQUES IMPROVISÉES"
97,2024-11-16,2024-11-22,ST Saulve,,,291,ATHENA BLUES FESTIVAL,http://bluesinathena.wixsite.com/bluesinathena/blues-in-festival,,25,59544,MUSIQUES ACTUELLES,"JAZZ, BLUES ET MUSIQUES IMPROVISÉES"
98,2024-09-29,2024-10-15,BREST,,,84,ATLANTIQUE JAZZ FESTIVAL,www.atlantiquejazzfestival.com,,22,29019,MUSIQUES ACTUELLES,"JAZZ, BLUES ET MUSIQUES IMPROVISÉES"
99,2024-06-30,2024-07-02,Castelnaudary,,,115,ATOM FESTIVAL,,,27,11076,PLURIDISCIPLINAIRE SPECTACLE VIVANT,PLURIDISCIPLINAIRE SPECTACLE VIVANT
100,2024-07-12,2024-07-15,THOUARS,,,287,ATOUT ARTS,www.theatre-thouars.com,,19,79329,MUSIQUES ACTUELLES,MUSIQUES TRADITIONNELLES ET DU MONDE
101,2024-10-06,2024-10-15,MEYTHET,,,126,ATTENTION LES FEUILLES !,http://theatredescollines.annecy.fr/festivals/attention-les-feuilles/,,20,74182,MUSIQUES ACTUELLES,CHANSON
102,2024-08-27,2024-09-01,LE GRAND BORNAND,,,93,AU BONHEUR DES MÔMES,www.aubonheurdesmomes.com,,34,74136,PLURIDISCIPLINAIRE SPECTACLE VIVANT,PLURIDISCIPLINAIRE SPECTACLE VIVANT
103,2024-07-07,2024-07-08,Cosne d Allier,,,71,AU COEUR DE COSNE,http://www.festival-cosne.net,,9,03084,PLURIDISCIPLINAIRE SPECTACLE VIVANT,PLURIDISCIPLINAIRE SPECTACLE VIVANT
104,2024-09-10,2024-09-10,ROMILLE,,,69,AU COIN DE MA RUE,https://fr-fr.facebook.com/aucoindemarue/,,12,35245,CIRQUE ET ARTS DE LA RUE,ARTS DE LA RUE
105,2024-11-07,2024-11-29,Oloron STE Marie,,,108,Au Fil de la marionnette,http://spectaclevivant.hautbearn.fr/,,18,64422,DIVERS SPECTACLE VIVANT,MARIONNETTES
106,2024-02-05,2024-02-17,PARIS,,,280,AU FIL DES VOIX PARIS,www.aufildesvoix.com,,34,75101,MUSIQUES ACTUELLES,MUSIQUES TRADITIONNELLES ET DU MONDE
107,2024-07-27,2024-07-29,CIVRAY,,,208,AU FIL DU SON,www.lachmiseverte.com,,17,86078,MUSIQUES ACTUELLES,MUSIQUES AMPLIFIÉES OU ÉLECTRONIQUES
108,2024-07-07,2024-07-08,ST DENIS DE GASTINES,,,125,AU FOIN DE LA RUE,www.aufoindelarue.com,,28,53211,MUSIQUES ACTUELLES,MUSIQUES AMPLIFIÉES OU ÉLECTRONIQUES
109,2024-08-05,2024-08-16,La Petite Pierre,,,256,AU GRES DU JAZZ,http://www.ot-paysdelapetitepierre.com/,,8,67371,MUSIQUES ACTUELLES,"JAZZ, BLUES ET MUSIQUES IMPROVISÉES"
110,2024-03-03,2024-04-30,CHANGE,,,105,AU PAYS DU MOME,https://www.paysdumome.com/,,22,53054,PLURIDISCIPLINAIRE SPECTACLE VIVANT,PLURIDISCIPLINAIRE SPECTACLE VIVANT
111,2024-08-04,2024-08-05,MALESTROIT,,,289,AU PONT DU ROCK,www.aupontdurock.com,,8,56124,MUSIQUES ACTUELLES,MUSIQUES AMPLIFIÉES OU ÉLECTRONIQUES
112,2024-08-18,2024-08-19,EVRES,,,153,AU PRÉ DE MON ANE,,,24,55185,MUSIQUES ACTUELLES,MUSIQUES ACTUELLES
113,2024-09-08,2024-09-09,TESSY SUR VIRE,,,152,AU SON D'EUH LO !,www.ausondeuhlo.com,,15,50592,MUSIQUES ACTUELLES,MUSIQUES AMPLIFIÉES OU ÉLECTRONIQUES
114,2024-09-20,2024-09-24,CERNY,,,238,AU SUD DU NORD,www.ausuddunord.fr,,10,91129,MUSIQUES ACTUELLES,"JAZZ, BLUES ET MUSIQUES IMPROVISÉES"
115,2024-05-22,2024-05-25,AUBERVILLIERS,,,274,AUBERCAIL,www.aubercail.fr,,13,93001,MUSIQUES ACTUELLES,CHANSON
116,2024-07-06,2024-07-09,AUBERVILLIERS,,,243,AUBER'JAZZ'DAY,http://www.auberjazzday.com/,,12,93001,MUSIQUES ACTUELLES,"JAZZ, BLUES ET MUSIQUES IMPROVISÉES"
117,2024-06-05,2024-06-09,TOURS,,,81,AUCARD DE TOURS,www.radiobeton.com,,25,37261,MUSIQUES ACTUELLES,MUSIQUES AMPLIFIÉES OU ÉLECTRONIQUES
118,2024-11-17,2024-11-26,PERPIGNAN,,,209,AUJOURD'HUI MUSIQUES,http://www.aujourdhuimusiques.com,,28,66136,MUSIQUES CLASSIQUES,MUSIQUE CONTEMPORAINE
119,2024-12-04,2024-12-10,PARIS,,,265,AURORES MONTREAL,https://www.oocto.com,,20,75101,MUSIQUES ACTUELLES,MUSIQUES ACTUELLES
120,2024-01-26,2024-02-04,CASTRES,,,245,AUTAN DE BLUES,http://www.bolegason.org/,,18,81065,MUSIQUES ACTUELLES,"JAZZ, BLUES ET MUSIQUES IMPROVISÉES"
121,2024-05-17,2024-05-19,St Felix Lauragais,,,224,AUTAN EN FANFARE,www.autanenfanfare.com,,11,31478,MUSIQUES ACTUELLES,MUSIQUES TRADITIONNELLES ET DU MONDE
122,2024-07-19,2024-07-19,VIENNE,,,125,AUTHENTIKS,www.festival-authentiks.com,,23,38544,MUSIQUES ACTUELLES,MUSIQUES AMPLIFIÉES OU ÉLECTRONIQUES
123,2024-10-05,2024-11-26,CLERMONT FERRAND,,,147,AUTOMNALES,www.puydedome.fr,,33,63113,PLURIDISCIPLINAIRE SPECTACLE VIVANT,PLURIDISCIPLINAIRE SPECTACLE VIVANT
124,2024-10-01,2024-12-17,NIMES,,,168,AUTOMNE MUSICAL DE NIMES,www.automne-musical-nimes.org,,11,30189,MUSIQUES CLASSIQUES,MUSIQUES CLASSIQUES
125,2024-09-15,2024-10-07,Taverny,,,128,AUTOMNE MUSICAL DE TAVERNY,www.automnemusicaltaverny.com,,29,95607,MUSIQUES CLASSIQUES,MUSIQUES CLASSIQUES
126,2024-10-13,2024-10-15,LE VESINET,,,88,AUTOMNE MUSICAL DU VESINET,www.automnemusicalduvesinet.fr,,8,78650,MUSIQUES CLASSIQUES,MUSIQUES CLASSIQUES
127,2024-07-16,2024-07-26,NIMES,,,247,AUTRES RIVAGES,www.autres-rivages.com,,24,30189,MUSIQUES ACTUELLES,MUSIQUES TRADITIONNELLES ET DU MONDE
128,2024-07-11,2024-08-18,NANTES,,,164,AUX HEURES D'ÉTÉ,www.auxheuresete.com,,8,44109,MUSIQUES ACTUELLES,MUSIQUES ACTUELLES
129,2024-01-21,2024-01-27,GRENOBLE,,,281,AUX RIRES ETC,http://auxrires.fr/,,30,38185,DIVERS SPECTACLE VIVANT,HUMOUR
130,2024-10-10,2024-10-13,ST HERBLAIN,,,168,Avant Curieux,http://www.theatreonyx.fr/programme/avant-curieux-1,,31,44162,CIRQUE ET ARTS DE LA RUE,CIRQUE ET ARTS DE LA RUE
131,2024-03-12,2024-03-17,MARSEILLE,,,53,AVEC LE TEMPS,www.festival-avecletemps.com,,27,13201,MUSIQUES ACTUELLES,CHANSON
132,2024-08-02,2024-08-06,AVIGNON,,,119,AVIGNON JAZZ FESTIVAL,www.tremplinjazzavignon.fr,,8,84007,MUSIQUES ACTUELLES,"JAZZ, BLUES ET MUSIQUES IMPROVISÉES"
133,2024-05-11,2024-05-12,GAVRES,,,94,Avis de temps fort,https://avisdetempsfort.wordpress.com/,,22,56062,CIRQUE ET ARTS DE LA RUE,ARTS DE LA RUE
134,2024-06-30,2024-07-02,AVOINE,,,267,Avoine Zone Groove,www.avoinezonegroove.fr,,31,37011,MUSIQUES ACTUELLES,MUSIQUES AMPLIFIÉES OU ÉLECTRONIQUES
135,2024-04-19,2024-04-21,VENDEMIAN,,,254,Avril des Clowns,https://www.avrildesclowns.com/,,22,34328,CIRQUE ET ARTS DE LA RUE,CIRQUE
