id_etape,duree_depuis_depart,prix_etape,id_covoiturage,id_lieu
102897,308,6,34238,7081
102898,0,7,34239,7272
102899,555,5,34239,3926
147923,0,12,49236,6930
147924,225,2,49236,1928
147925,382,3,49236,3976
147926,400,2,49236,2215
147927,430,9,49236,4475
147928,0,5,49237,3883
147930,413,10,49238,4551
147931,475,11,49238,3759
147932,608,5,49238,2035
147933,806,4,49238,3752
147934,0,6,49239,1923
147935,325,8,49239,3509
147936,352,7,49239,6042
147937,389,9,49239,7262
147938,0,12,49240,3766
147939,0,14,49241,1734
147940,267,3,49241,6656
147941,379,2,49241,4588
147942,405,4,49241,7109
147943,0,10,49242,3656
147944,0,15,49243,3701
147945,459,4,49243,651
147946,552,8,49243,3850
147947,558,2,49243,3817
147948,0,3,49244,3767
147949,298,2,49244,4395
147950,0,13,49245,798
147951,284,2,49245,3726
147952,331,5,49245,3368
147953,516,2,49245,6329
102900,640,8,34239,6042
102901,0,3,34240,3770
102902,150,6,34240,909
102903,207,8,34240,3250
102904,0,8,34241,4813
102905,130,5,34241,3985
102906,168,5,34241,461
102907,0,17,34242,7041
102908,0,18,34243,6139
102909,535,3,34243,6387
102910,0,12,34244,3855
102911,257,11,34244,3503
102912,323,4,34244,4517
102913,0,14,34245,3763
102915,562,2,34245,6783
102917,0,6,34247,4536
102918,447,8,34247,6153
102919,477,5,34247,3730
102920,650,2,34247,6883
102922,667,2,34248,1734
102923,857,9,34248,4683
102924,1000,8,34248,57
102925,1101,16,34248,5835
102926,0,8,34249,3705
102927,443,2,34249,2051
102928,0,5,34250,1240
102929,0,19,34251,4395
102930,0,16,34252,2048
102931,0,3,34253,7090
102932,248,6,34253,3736
102933,349,17,34253,3762
102934,400,9,34253,4535
102935,0,5,34254,1992
102936,132,19,34254,4530
102937,0,11,34255,1776
102938,607,10,34255,6064
102939,666,4,34255,4787
102940,698,7,34255,6139
102941,779,10,34255,6929
102942,0,7,34256,2034
102943,75,2,34256,3882
102944,139,5,34256,5805
102945,0,3,34257,4787
102946,216,3,34257,3408
102947,0,7,34258,780
102948,582,7,34258,589
102949,636,3,34258,4624
102950,685,3,34258,3963
102951,738,2,34258,2494
102952,0,17,34259,7089
102953,0,16,34260,7261
102954,474,9,34260,5882
102955,496,5,34260,7091
200,610,8,69,5866
201,686,3,69,3987
202,857,3,69,7073
203,0,17,70,4530
204,293,9,70,651
205,0,6,71,1692
206,0,20,72,3724
207,172,6,72,4300
208,187,7,72,4315
209,205,7,72,3985
210,378,3,72,5306
211,0,3,73,6938
212,348,11,73,3679
213,493,5,73,126
214,644,2,73,1149
215,689,6,73,1923
216,0,16,74,1011
217,183,7,74,4751
218,0,16,75,84
102956,577,17,34260,4562
220,829,8,75,3850
221,0,8,76,1734
222,377,10,76,4683
223,473,3,76,1365
224,489,2,76,68
225,0,9,77,3513
226,356,7,77,589
227,395,6,77,5867
228,516,5,77,3895
229,659,9,77,198
230,0,19,78,651
231,160,3,78,3852
232,219,17,78,137
233,0,13,79,5960
234,184,17,79,4460
235,320,3,79,7252
236,414,7,79,6884
237,0,19,80,461
238,0,18,81,1396
239,613,2,81,1396
240,0,20,82,1780
241,404,3,82,3651
242,542,2,82,5811
243,632,3,82,3714
244,0,20,83,2612
245,530,5,83,3742
246,0,5,84,3728
247,327,4,84,3751
248,360,10,84,3825
249,0,4,85,3736
250,627,11,85,6657
251,761,6,85,6042
252,0,14,86,3736
253,245,5,86,2048
254,339,6,86,4315
255,0,14,87,651
256,0,11,88,1364
257,210,9,88,7081
258,248,15,88,3896
259,0,14,89,3710
260,0,7,90,7278
261,508,2,90,3726
262,0,6,91,2049
263,241,9,91,3744
264,398,5,91,6138
265,572,3,91,3826
266,772,12,91,3369
267,0,18,92,3737
268,486,3,92,4813
269,535,12,92,4007
270,670,11,92,6716
271,0,15,93,3708
272,288,12,93,7252
273,327,10,93,7253
274,0,11,94,4774
275,580,6,94,3780
276,0,15,95,3986
277,354,3,95,3029
278,0,18,96,1993
279,679,8,96,3747
280,693,5,96,1775
281,0,14,97,3820
282,252,3,97,3682
283,439,13,97,3
284,627,11,97,3325
285,0,17,98,6278
286,385,10,98,4750
287,513,7,98,7003
288,544,3,98,7255
289,596,7,98,3773
291,155,3,99,7074
292,216,12,99,7271
293,0,4,100,2049
294,264,2,100,81
295,381,10,100,2431
296,0,3,101,7047
297,249,4,101,3749
298,287,2,101,6773
299,0,11,102,7267
300,396,7,102,3964
301,458,5,102,4519
302,558,5,102,4702
303,614,10,102,3928
304,0,6,103,1806
305,320,2,103,6139
306,406,5,103,4514
307,598,4,103,5941
308,0,9,104,76
309,287,5,104,3721
310,476,7,104,7265
311,486,12,104,805
312,675,2,104,5882
313,0,18,105,2547
314,0,7,106,4531
315,286,3,106,7074
316,475,2,106,3761
317,588,6,106,7284
318,0,19,107,7272
319,0,4,108,4460
320,564,4,108,7019
321,0,7,109,3720
322,0,4,110,6139
323,350,3,110,4514
324,520,3,110,3735
325,645,6,110,945
326,761,8,110,945
327,0,18,111,6884
328,557,7,111,459
329,716,4,111,7253
330,780,16,111,3882
331,0,16,112,5811
332,566,10,112,4523
333,680,4,112,1438
334,827,4,112,3783
335,0,19,113,6823
336,446,2,113,3883
337,610,7,113,7265
338,748,3,113,4586
339,0,17,114,3778
340,409,9,114,3651
341,485,2,114,6079
342,636,2,114,3963
343,800,4,114,3884
344,0,17,115,3
345,654,3,115,4678
346,749,9,115,7272
347,0,7,116,81
348,0,12,117,4527
349,532,4,117,7081
350,720,2,117,4503
351,875,2,117,3754
352,0,20,118,7082
353,205,17,118,5807
354,320,7,118,4517
355,495,16,118,6689
356,690,14,118,5739
357,0,13,119,4532
358,532,8,119,6932
359,674,2,119,484
360,818,4,119,3988
361,862,2,119,1398
362,0,16,120,4532
363,465,5,120,3985
364,0,17,121,2465
365,50,13,121,4536
366,60,18,121,2505
367,202,5,121,6656
368,0,5,122,1076
369,149,9,122,4525
370,289,2,122,6760
371,472,16,122,3503
372,0,10,123,3871
373,409,4,123,156
374,515,7,123,6293
375,711,6,123,4524
376,742,3,123,6760
377,0,13,124,4559
378,638,4,124,3725
379,789,5,124,485
380,858,11,124,3637
381,1015,4,124,485
382,0,7,125,459
383,265,11,125,4515
384,295,10,125,7020
385,0,9,126,3785
386,0,12,127,34
387,0,5,128,3651
388,141,3,128,3988
389,0,17,129,3891
390,479,6,129,3747
391,674,6,129,3711
392,802,3,129,6376
393,0,13,130,4526
394,405,9,130,3704
395,598,3,130,6875
396,751,7,130,3764
397,0,17,131,3889
398,526,11,131,3732
399,688,7,131,6716
400,813,2,131,3701
401,0,9,132,3774
402,628,4,132,5992
403,0,9,133,3752
404,278,10,133,6702
405,402,6,133,3514
406,0,16,134,2547
407,365,4,134,7283
408,405,3,134,6299
409,504,11,134,3845
410,536,5,134,3852
411,0,9,135,3656
412,0,4,136,3738
413,597,11,136,4394
414,722,10,136,5810
415,0,16,137,1149
416,410,2,137,4809
417,0,9,138,7109
418,121,20,138,3927
419,168,2,138,4116
420,0,19,139,7004
421,137,2,139,2144
422,242,5,139,4530
423,0,3,140,5960
424,469,2,140,1011
425,0,17,141,3872
426,414,7,141,7284
427,602,10,141,4586
428,0,10,142,3503
429,495,7,142,4659
430,624,17,142,909
431,0,19,143,7017
432,462,3,143,3820
433,0,7,144,3872
434,498,4,144,4856
435,510,3,144,459
436,511,11,144,6111
437,0,10,145,3704
438,569,3,145,1990
439,702,12,145,57
440,855,2,145,6172
441,871,3,145,7275
442,0,19,146,7091
443,0,18,147,7264
444,0,13,148,6417
445,340,4,148,1727
446,0,17,149,3444
447,379,13,149,3762
448,0,19,150,7275
449,188,6,150,3469
450,365,8,150,6280
451,443,9,150,4461
452,458,7,150,4764
453,0,10,151,3606
454,270,3,151,3761
455,0,3,152,6938
456,295,5,152,4750
457,336,7,152,7081
458,0,12,153,3778
459,216,2,153,6935
460,409,7,153,1191
461,585,11,153,7108
462,0,14,154,4773
463,0,15,155,5992
464,248,2,155,3250
465,0,12,156,7403
466,514,6,156,2586
467,600,5,156,3325
468,774,6,156,6773
469,848,12,156,3605
470,0,6,157,6329
471,521,7,157,3977
472,642,7,157,3747
473,786,8,157,3715
474,868,2,157,4750
475,0,10,158,3881
476,570,6,158,3485
477,636,3,158,3963
478,787,6,158,1984
479,0,3,159,5338
480,14,5,159,460
481,78,5,159,3820
482,165,8,159,4685
483,354,6,159,3784
484,0,3,160,7281
485,419,18,160,68
486,597,2,160,3928
487,685,5,160,3825
488,835,5,160,4672
489,0,16,161,4526
490,0,15,162,7004
491,129,11,162,4294
492,0,13,163,4587
493,292,3,163,4531
494,315,3,163,459
495,386,9,163,6279
496,512,3,163,3988
497,0,8,164,6930
498,0,12,165,7269
499,350,7,165,3748
102957,0,19,34261,7073
102958,173,2,34261,7288
102959,0,15,34262,4476
102960,223,10,34262,3727
102961,0,15,34263,7268
102962,504,6,34263,1776
102963,518,5,34263,6791
102964,607,12,34263,4586
102965,0,3,34264,5305
102966,314,5,34264,3984
102968,546,11,34264,4534
102969,0,5,34265,5879
102970,475,13,34265,6760
102971,603,8,34265,6066
102972,769,5,34265,3680
102973,0,20,34266,6883
102974,349,8,34266,3735
102975,469,14,34266,6930
102976,0,14,34267,3719
102977,554,5,34267,3745
102978,578,6,34267,8
102979,624,7,34267,1263
102980,0,11,34268,4529
102981,279,11,34268,3679
102982,396,5,34268,6998
102983,530,10,34268,798
102985,0,17,34269,4520
102986,325,5,34269,187
102987,438,5,34269,1922
102988,478,2,34269,6936
102989,675,2,34269,3881
102990,0,13,34270,6444
102991,0,8,34271,7253
500,0,14,166,3767
501,334,14,166,7257
502,358,4,166,7275
503,455,10,166,7047
504,0,4,167,7089
505,591,9,167,6327
506,698,3,167,3717
507,814,7,167,3883
508,978,10,167,3485
509,0,12,168,3817
510,553,4,168,6355
511,606,5,168,3985
512,700,4,168,7403
513,0,19,169,3827
514,315,8,169,1222
515,436,8,169,7274
516,0,17,170,3871
517,0,13,171,3891
518,423,2,171,3739
519,444,11,171,4533
520,523,2,171,3627
521,654,3,171,3730
522,0,5,172,1075
523,271,6,172,4773
524,350,10,172,4510
526,622,8,173,3721
527,754,14,173,1240
528,0,17,174,1922
529,213,12,174,1773
530,281,8,174,4856
531,0,17,175,84
532,109,16,175,3250
533,252,17,175,6042
534,0,3,176,3606
535,0,17,177,6883
536,280,7,177,2051
537,0,15,178,1990
538,298,4,178,3756
539,479,7,178,3855
540,646,14,178,613
541,0,15,179,7045
542,376,8,179,3818
543,500,10,179,6875
544,672,9,179,7019
545,0,15,180,4544
546,510,11,180,4585
547,541,3,180,6937
548,0,15,181,4809
549,0,6,182,1692
550,0,4,183,5805
551,0,7,184,4685
552,506,10,184,7042
553,0,10,185,4787
554,74,14,185,7109
555,161,4,185,3510
556,181,3,185,6868
557,233,9,185,461
558,0,13,186,7162
559,467,8,186,5867
560,644,6,186,3701
561,0,20,187,1922
562,205,4,187,4133
563,210,6,187,4531
564,309,6,187,3743
565,486,6,187,84
566,0,7,188,63
567,223,9,188,5811
568,324,2,188,4472
569,0,11,189,4379
570,522,12,189,4300
571,712,5,189,4856
572,836,2,189,480
573,862,9,189,3368
574,0,7,190,1923
575,0,17,191,4764
576,0,12,192,2612
577,650,8,192,3741
578,655,6,192,3712
579,839,7,192,3976
580,0,3,193,4839
581,214,6,193,2674
582,297,15,193,5807
583,373,2,193,1734
584,0,17,194,1397
585,401,7,194,2495
586,0,5,195,4527
587,159,7,195,7276
588,0,17,196,1261
589,385,3,196,6299
590,566,2,196,1263
591,719,5,196,3986
592,0,9,197,7256
593,434,5,197,3963
594,485,3,197,4379
595,597,4,197,3681
596,0,14,198,1076
597,157,3,198,6387
598,200,2,198,3444
599,223,10,198,3756
102992,452,9,34271,5960
102993,577,13,34271,3817
102994,642,9,34271,3871
102995,0,19,34272,4521
102996,338,2,34272,3881
102997,0,5,34273,1384
102998,234,6,34273,6998
102999,296,4,34273,2049
103000,385,4,34273,6931
103001,466,3,34273,7041
103002,0,20,34274,3762
103003,319,4,34274,7286
103004,0,5,34275,3706
103005,346,7,34275,7286
103006,451,14,34275,6042
103007,636,16,34275,4526
103008,777,15,34275,4536
103009,0,17,34276,3652
103010,391,4,34276,3976
103011,531,9,34276,6702
103012,538,16,34276,81
103013,0,15,34277,2034
103015,248,5,34277,1261
103016,0,10,34278,3638
103017,61,17,34278,6159
103018,195,3,34278,1365
103019,370,4,34278,1936
103020,498,3,34278,5305
103021,0,17,34279,7281
103022,0,6,34280,4133
103023,515,13,34280,6768
103024,0,5,34281,7403
103025,121,2,34281,4533
103026,0,5,34282,3591
103027,272,6,34282,3883
103028,458,9,34282,6823
103029,570,7,34282,7255
103030,0,6,34283,6879
103031,542,16,34283,4552
103032,667,10,34283,3769
103033,832,5,34283,7089
103034,839,4,34283,1365
103035,0,7,34284,4482
103036,0,3,34285,4544
103037,153,15,34285,4560
103038,306,8,34285,3785
103039,466,17,34285,3758
103040,0,16,34286,3755
103041,153,8,34286,6716
103042,263,4,34286,3817
103043,0,15,34287,7274
103044,0,18,34288,3744
103045,359,2,34288,6928
103046,456,4,34288,613
103047,628,3,34288,62
103048,0,12,34289,7004
103049,0,13,34290,6280
103050,380,2,34290,485
103051,548,2,34290,6293
103052,710,17,34290,3895
103053,0,8,34291,3985
103054,0,13,34292,3722
103055,368,2,34292,5879
103056,470,9,34292,3847
103057,0,18,34293,6327
600,0,14,199,5835
601,219,9,199,1149
602,335,10,199,3887
603,339,7,199,3736
604,419,14,199,3591
605,0,10,200,3822
606,178,4,200,6153
607,289,9,200,1990
608,0,16,201,1362
609,187,8,201,3030
610,243,3,201,1075
611,0,3,202,1734
612,243,2,202,3895
613,396,3,202,155
614,545,15,202,7284
615,554,9,202,1735
616,0,3,203,6873
617,0,13,204,2495
618,451,5,204,4528
619,494,10,204,3680
620,569,8,204,68
621,0,20,205,6079
622,306,5,205,7277
623,337,11,205,7365
624,496,6,205,3709
625,0,4,206,2674
626,685,13,206,4007
627,0,5,207,3592
628,267,2,207,5834
629,372,7,207,4503
630,502,8,207,3925
631,525,6,207,5992
632,0,14,208,5796
633,250,11,208,3820
634,297,11,208,3736
635,311,2,208,4722
636,0,4,209,3512
637,549,6,209,6935
638,730,12,209,5942
639,757,3,209,4562
640,0,13,210,3744
641,504,9,210,3629
642,0,13,211,2505
643,12,8,211,4458
644,50,6,211,1811
645,0,17,212,4528
646,186,3,212,1694
647,288,2,212,7045
648,293,3,212,4856
649,0,6,213,3325
650,0,16,214,3680
651,0,5,215,613
652,373,4,215,3773
653,0,16,216,3592
654,302,8,216,3681
655,429,12,216,4520
656,534,3,216,3706
657,0,19,217,6292
658,408,3,217,6111
659,517,5,217,1710
660,0,10,218,3627
661,539,4,218,4683
662,580,9,218,7081
663,601,5,218,4329
664,752,3,218,6936
665,0,11,219,4588
666,235,12,219,3751
667,375,6,219,7264
668,551,7,219,5805
669,648,3,219,3781
670,0,5,220,3439
671,0,17,221,7286
672,631,5,221,7274
673,823,10,221,3656
674,934,9,221,4516
675,0,11,222,7501
676,604,2,222,2
677,773,7,222,909
678,803,12,222,4472
103058,496,3,34293,677
680,0,10,223,3709
681,0,8,224,3504
682,437,4,224,3763
683,0,11,225,2401
684,60,2,225,3784
685,238,6,225,4623
686,282,5,225,7081
687,0,9,226,3735
688,0,8,227,63
689,0,15,228,4260
690,447,9,228,4750
691,450,6,228,2
692,531,2,228,3785
103059,0,12,34294,2465
694,0,9,229,2091
695,579,5,229,3680
696,717,7,229,3871
697,0,13,230,5811
698,353,5,230,4809
699,0,15,231,6937
103060,0,7,34295,4472
103061,650,10,34295,1222
103062,0,8,34296,999
103063,91,10,34296,3891
103064,116,14,34296,7261
103065,0,4,34297,5850
103067,210,8,34297,4542
103068,216,3,34297,6300
103069,0,3,34298,3655
103070,492,6,34298,3756
103071,0,19,34299,7265
103072,536,4,34299,6873
103073,0,4,34300,1240
103074,454,7,34300,4519
103075,567,4,34300,2090
103076,649,10,34300,7105
103077,0,9,34301,2401
103078,518,2,34301,4534
103079,0,3,34302,7082
103080,0,5,34303,2495
103081,0,8,34304,4659
103082,0,12,34305,7081
103083,97,7,34305,1191
103084,167,3,34305,3741
103085,0,6,34306,6139
103086,0,16,34307,3752
103087,386,7,34307,5942
103088,509,4,34307,2612
103089,0,20,34308,3720
103090,0,3,34309,3651
103091,215,4,34309,7047
700,0,4,232,7105
701,120,19,232,613
702,237,9,232,7110
703,0,9,233,3720
704,364,4,233,4550
705,491,10,233,76
706,546,5,233,3754
707,0,13,234,7502
708,574,11,234,7107
709,0,15,235,613
710,449,13,235,3925
711,526,9,235,7258
712,669,9,235,35
713,679,8,235,3709
714,0,8,236,4394
715,623,10,236,6379
716,0,4,237,3655
717,0,5,238,3513
718,214,2,238,5834
719,384,4,238,7089
720,420,12,238,4522
721,473,6,238,3750
722,0,8,239,132
723,0,12,240,1149
724,207,7,240,1806
725,233,4,240,4459
726,354,2,240,7276
727,404,9,240,4260
728,0,7,241,3369
729,0,7,242,3627
730,383,3,242,4524
731,523,10,242,3747
732,636,11,242,7288
733,832,13,242,7253
734,0,8,243,7162
735,167,11,243,3707
736,0,9,244,3818
737,0,4,245,3703
738,74,6,245,4328
739,89,6,245,5739
740,184,5,245,3786
741,0,3,246,477
742,422,2,246,1774
743,501,12,246,7281
744,664,17,246,4813
745,677,11,246,3779
746,0,13,247,6875
747,208,5,247,3756
749,0,18,248,1173
750,512,14,248,3851
751,632,2,248,4300
752,662,8,248,477
753,681,12,248,3827
754,0,13,249,4510
755,230,10,249,34
756,294,3,249,3
757,324,7,249,7107
758,498,13,249,5879
759,0,9,250,1734
760,102,3,250,3708
761,263,2,250,3716
762,282,3,250,3739
763,287,6,250,4527
764,0,17,251,64
765,336,5,251,3779
766,338,8,251,180
767,396,19,251,3743
768,0,13,252,3927
769,138,3,252,3753
770,234,13,252,3821
771,338,4,252,589
772,0,6,253,7365
773,594,7,253,4813
774,0,4,254,3779
775,261,6,254,3655
776,452,14,254,1774
777,0,17,255,7403
778,285,4,255,1811
779,431,2,255,3756
780,0,15,256,4787
781,0,10,257,3751
782,178,3,257,3759
784,236,5,258,4458
785,350,11,258,156
786,489,14,258,4328
787,0,19,259,3871
788,228,14,259,3746
789,269,17,259,3512
790,0,6,260,5796
791,274,5,260,5810
792,0,19,261,3711
793,586,14,261,7044
794,731,5,261,3229
795,928,14,261,162
796,0,8,262,805
797,433,4,262,7074
798,575,7,262,4513
799,577,2,262,7287
103092,361,9,34309,3759
103093,529,3,34309,6883
103094,622,5,34309,5879
103095,0,8,34310,6768
103096,224,6,34310,8
103097,0,14,34311,3769
103098,532,2,34311,2547
103099,626,9,34311,6387
103100,742,2,34311,6882
103101,0,9,34312,3750
103102,0,5,34313,7255
103103,498,6,34313,4517
103104,0,18,34314,3510
103105,388,5,34314,3718
103106,409,9,34314,1418
103107,599,2,34314,3652
103108,768,9,34314,4774
103109,0,3,34315,2465
103110,290,2,34315,3744
103111,427,5,34315,3752
103112,568,2,34315,5879
103113,634,8,34315,7257
103114,0,9,34316,6656
103115,249,4,34316,1725
103116,432,4,34316,4523
103118,0,16,34317,3741
103119,0,17,34318,4482
103120,536,4,34318,7017
103121,0,18,34319,1150
103122,505,2,34319,6875
103123,673,3,34319,3986
103124,0,7,34320,4792
103125,0,19,34321,1398
103126,353,2,34321,7262
103127,411,4,34321,3884
103128,0,5,34322,1928
103129,559,3,34322,4530
103130,603,4,34322,6882
103131,643,9,34322,801
103132,0,18,34323,3724
103133,0,8,34324,7043
103134,0,19,34325,3855
103135,294,4,34325,2465
103136,0,9,34326,6417
103137,414,12,34326,7044
103138,479,7,34326,1977
103139,0,19,34327,3715
103140,150,5,34327,2547
103141,0,8,34328,6300
103142,244,2,34328,1384
103143,395,20,34328,5857
103144,592,10,34328,3509
103145,0,10,34329,3760
103146,0,7,34330,3768
103147,0,20,34331,3751
103148,363,4,34331,6409
103149,529,10,34331,4514
103150,599,2,34331,3827
103151,0,19,34332,3250
103152,537,3,34332,4750
103154,0,16,34334,461
103155,528,4,34334,3871
103156,568,6,34334,4394
103157,670,7,34334,6930
103158,0,14,34335,4503
103159,75,5,34335,1936
103160,81,5,34335,3888
103161,90,3,34335,3784
800,674,14,262,4542
801,0,4,263,6875
802,487,8,263,6883
803,0,3,264,2
804,448,4,264,6768
805,538,2,264,3606
806,703,15,264,5994
807,808,12,264,7254
808,0,16,265,3776
809,384,4,265,5810
810,0,20,266,7502
811,63,3,266,3780
812,131,3,266,1396
813,205,8,266,7268
814,334,18,266,3739
815,0,4,267,3733
816,688,11,267,3717
817,0,11,268,84
818,425,5,268,3753
