idLieu,nomLieu,adresseLieu,commune,codeINSEELieu,typeLieu,longitude_x,latitude_x,codeINSEE,communeINSEE,codePostal,latitude_y,longitude_y,departement
480,Parking D0041,D0041,ST ANDRE LES VERGERS,10333,Parking,4.051245,48.285055,10333,ST ANDRE LES VERGERS,10120.0,48.2782659904,4.04840305057,10.0
484,Aire de covoiturage du Rond-Point George Pompidou,D6113,CARCASSONNE,11069,Aire de covoiturage,2.33082,43.22703,11069,CARCASSONNE,11000.0,43.2093798444,2.34398855385,11.0
485,Parking de covoiturage de Castelnaudary,A61 Sortie 21 Castelnaudary,CASTELNAUDARY,11076,Aire de covoiturage,1.951646,43.292797,11076,CASTELNAUDARY,11400.0,43.3230173159,1.96073752488,11.0
490,Aire de covoiturage de Narbonne,D6009,NARBONNE,11262,Aire de covoiturage,2.98888,43.16498,11262,NARBONNE,11100.0,43.1652399898,3.02023868739,11.0
589,Parking Rodiez D920,Avenue de Rodiez,ENTRAYGUES SUR TRUYERE,12094,Parking,2.571188,44.638424,12094,ENTRAYGUES SUR TRUYERE,12140.0,44.6544227279,2.57843798744,12.0
613,Aire de St Germain,St Germain,MILLAU,12145,Parking,3.031685,44.133401,12145,MILLAU,12100.0,44.0976252203,3.11705384129,12.0
651,Parking route du ch̩teau D568,Croisement 901-568 ̩ c̩t̩ d'Hostellerie de Fontanges,ONET LE CHATEAU,12176,Parking,2.563693601,44.3788943,12176,ONET LE CHATEAU,12850.0,44.3825530939,2.56000835023,12.0
652,Aire de la Croix blanche,La Croix Blanche,ONET LE CHATEAU,12176,Parking,2.52149,44.385137,12176,ONET LE CHATEAU,12850.0,44.3825530939,2.56000835023,12.0
677,Aire du Dolmen,Croisement RD 250,ST AFFRIQUE,12208,Parking,2.935273,43.989919,12208,ST AFFRIQUE,12400.0,43.9656694471,2.86653125625,12.0
780,Parking Aire de Stationement Chemin de La Pourranque,D113,LES PENNES MIRABEAU,13071,Parking,5.298068,43.415103,13071,LES PENNES MIRABEAU,13170.0,43.4026791235,5.31547094057,13.0
798,Parking ̩ c̩t̩ du Campanile Vire,D55B,VIRE NORMANDIE,14762,Parking,-0.869746025,48.86725299,14762,VIRE NORMANDIE,14500.0,48.8512498219,-0.889601911342,14.0
800,Aire de covoiturage d'Aurillac c̩t̩ Sansac,RN122. apr̩s station essence,AURILLAC,15014,Aire de covoiturage,2.420675,44.907396,15014,AURILLAC,15000.0,44.9245233686,2.44162453828,15.0
801,Aire de covoiturage de Lascanaux,RD120-RD18,AURILLAC,15014,Aire de covoiturage,2.425653,44.930951,15014,AURILLAC,15000.0,44.9245233686,2.44162453828,15.0
805,Aire de covoiturage de l'̩changeur du Pont d'Orgon,RD120-RD653-RD2,LAROQUEBROU,15094,Aire de covoiturage,2.222572,44.975347,15094,LAROQUEBROU,15150.0,44.974801878,2.19344155664,15.0
909,Aire de covoiturage de Chevanceaux RN,D910. 17210 Chevanceaux,CHEVANCEAUX,17104,Aire de covoiturage,-0.238894,45.29498,17104,CHEVANCEAUX,17210.0,45.2991036157,-0.212745427896,17.0
945,Aire de covoiturage de Dolus d'Ol̩ron D̩lidon,Route du Viaduc. 17550 Dolus-d'Ol̩ron,DOLUS D OLERON,17140,Aire de covoiturage,-1.252945,45.901564,17140,DOLUS D OLERON,17550.0,45.9096185439,-1.25750953748,17.0
999,Aire de covoiturage de Matha Rond-Point de l'Europe,6 Rue des Arts. 17160 Matha,MATHA,17224,Aire de covoiturage,-0.305257,45.866659,17224,MATHA,17160.0,45.8637317103,-0.314996278369,17.0
1011,Aire de covoiturage de Montendre Centre Commercial,Boulevard de Saintonge. 17130 Montendre,MONTENDRE,17240,Supermarch̩,-0.410973,45.290373,17240,MONTENDRE,17130.0,45.2880726146,-0.387479585943,17.0
1053,Aire de covoiturage de P̩rigny Chevaliers,ZI de perigny avenue Joliot-Curie. 17180 Perigny,PERIGNY,17274,Aire de covoiturage,-1.110087,46.155925,17274,PERIGNY,17180.0,46.1574551352,-1.08886084864,17.0
1075,Aire de covoiturage de Rochefort Les S̩urs,1B Rue Hubert Pennevert. 17300 Rochefort,ROCHEFORT,17299,Aire de covoiturage,-0.958272,45.959106,17299,ROCHEFORT,17300.0,45.9432344536,-0.972356445692,17.0
1076,Aire de covoiturage de La Rochelle Belv̩d̩re,D21. 17000 La Rochelle,LA ROCHELLE,17300,Aire de covoiturage,-1.218497,46.174284,17300,LA ROCHELLE,17000.0,46.1620643972,-1.17465702836,17.0
1077,Aire de covoiturage de Royan Belmont,Ave. Louis Boucher. 17200 Royan,ROYAN,17306,Aire de covoiturage,-1.000643,45.625212,17306,ROYAN,17200.0,45.6346574238,-1.01791403375,17.0
1148,Aire de covoiturage de Saintes Br̩lerie,12 Boulevard de Vladimir. 17100 Saintes,SAINTES,17415,Aire de covoiturage,-0.651492,45.755558,17415,SAINTES,17100.0,45.7422300162,-0.649623035643,17.0
1149,Aire de covoiturage de Saintes Charrier,17 Avenue de Gemozac. 17100 Saintes,SAINTES,17415,Aire de covoiturage,-0.644085,45.720022,17415,SAINTES,17100.0,45.7422300162,-0.649623035643,17.0
1150,Aire de covoiturage de Saintes V̩cherons,1 Rue des Vacherons. 17100 Saintes,SAINTES,17415,Aire de covoiturage,-0.661153,45.757095,17415,SAINTES,17100.0,45.7422300162,-0.649623035643,17.0
1173,Aire de covoiturage de Surg̩res Route de Rochefort,14B Avenue Saint-Pierre. 17700 Surg̩res,SURGERES,17434,Aire de covoiturage,-0.753167,46.103761,17434,SURGERES,17700.0,46.1044773827,-0.753715269757,17.0
1186,Parking de covoiturage de Bourges,A71 Sortie 7 Bourges,BOURGES,18033,Aire de covoiturage,2.342195,47.046055,18033,BOURGES,18000.0,47.0749572013,2.40417137557,18.0
1191,Parking de covoiturage de Vierzon Est,A71 Sortie 6 Vierzon Est,VIERZON,18279,Aire de covoiturage,2.117144,47.213675,18279,VIERZON,18100.0,47.2368836077,2.0790757049,18.0
1222,Aire de covoiturage de Gevrey Chambertin,Rue de la Petite Issue. 21220 Gevrey-Chambertin,GEVREY CHAMBERTIN,21295,Aire de covoiturage,4.994629,47.224663,21295,GEVREY CHAMBERTIN,21220.0,47.2200822946,4.98301612333,21.0
1238,Aire de covoiturage de Saulieu,22 Rue d'Argentine. 21210 Saulieu,SAULIEU,21584,Aire de covoiturage,4.23087,47.281433,21584,SAULIEU,21210.0,47.2840306915,4.23192469784,21.0
1240,Aire de covoiturage de Talant,22 All̩e L̩on Soye. 21240 Talant,TALANT,21617,Aire de covoiturage,4.995505,47.341261,21617,TALANT,21240.0,47.3388300285,4.99779516001,21.0
1256,Aire de covoiturage Le Boutil,Giratoire du Boutil RD 767 - RD 786,LANNION,22113,Aire de covoiturage,-3.430629822,48.72429683,22113,LANNION,22300.0,48.7433496707,-3.46159799691,22.0
1261,Aire de covoiturage Bel Air,̩changeur de Bel Air RD 700-,LA MOTTE,22155,Aire de covoiturage,-2.755123526,48.22553374,83085,LA MOTTE,83920.0,43.5078511168,6.55055399937,83.0
1263,Aire de covoiturage La Lande Blanche,Giratoire de la Lande Blanche RD786-RD7,PAIMPOL,22162,Aire de covoiturage,-3.041335092,48.76188831,22162,PAIMPOL,22500.0,48.7733386239,-3.05459397042,22.0
1302,Aire de covoiturage La Crar̩e,̩changeur de la Crar̩e RD 10 - RD 27 - RD 222,TREGUEUX,22360,Aire de covoiturage,-2.750257156,48.47715316,22360,TREGUEUX,22950.0,48.480075769,-2.74506421541,22.0
1362,Espace Pourny,2 Rue Louis Pergaud. 25300 Pontarlier,PONTARLIER,25462,Parking,6.345686992,46.9018666,25462,PONTARLIER,25300.0,46.9119730882,6.38914602031,25.0
1364,Centre-Ville-Cl̩menceau,5 Rue Clemenceau. 25210 Le Russey,LE RUSSEY,25512,Parking,6.73146,47.16191,25512,LE RUSSEY,25210.0,47.1549185878,6.73440290446,25.0
1365,Stade,4 Rue du Stade. 25210 Le Russey,LE RUSSEY,25512,Parking,6.71983,47.15692,25512,LE RUSSEY,25210.0,47.1549185878,6.73440290446,25.0
1384,Aire de covoiturage de Chabeuil,5 Route de Malissard. 26120 Chabeuil,CHABEUIL,26064,Aire de covoiturage,5.008214,44.902857,26064,CHABEUIL,26120.0,44.9082255842,5.00743034189,26.0
1396,Aire de covoiturage de La Saleine,La Croix de Romans .. 26400 Crest,CREST,26108,Aire de covoiturage,5.005335,44.740147,26108,CREST,26400.0,44.7335665907,5.0221758413,26.0
1397,Aire de covoiturage de St-Ferr̩ol,D164. 26400 Crest,CREST,26108,Aire de covoiturage,5.026365,44.720135,26108,CREST,26400.0,44.7335665907,5.0221758413,26.0
1398,Aire de covoiturage des Blaches,D104. 26400 Crest,CREST,26108,Aire de covoiturage,4.997832,44.720405,26108,CREST,26400.0,44.7335665907,5.0221758413,26.0
1400,Parking de la distillerie,8 Rue de la Distillerie,DIEULEFIT,26114,Parking,5.070451,44.520508,26114,DIEULEFIT,26220.0,44.5310329912,5.06528375642,26.0
1417,Parking de la route nationale 7,8575 Route Route Nationale 7. 26700 Pierrelatte,PIERRELATTE,26235,Parking,4.686989,44.332382,26235,PIERRELATTE,26700.0,44.3606937732,4.68715113615,26.0
1418,Parking du Carrefour Market,La Croix d'or. 26700 Pierrelatte,PIERRELATTE,26235,Supermarch̩,4.693903,44.361235,26235,PIERRELATTE,26700.0,44.3606937732,4.68715113615,26.0
1420,Aire de covoiturage de la place de la lib̩ration,9 Rue Emile Zola. 26800 Portes-l̩s-Valence,PORTES LES VALENCE,26252,Aire de covoiturage,4.879165,44.873724,26252,PORTES LES VALENCE,26800.0,44.8757833249,4.88408311324,26.0
1421,Aire de covoiturage de l'espace Cristal,Rue Charles de Gaulle. 07800 Charmes-sur-Rh̩ne,PORTES LES VALENCE,26252,Aire de covoiturage,4.871997,44.859929,26252,PORTES LES VALENCE,26800.0,44.8757833249,4.88408311324,26.0
1438,Parking de l'̩glise,7 Place de l'̩glise. 26400 Saou,SAOU,26336,Parking,5.062219,44.646408,26336,SAOU,26400.0,44.6470256973,5.11072905542,26.0
1689,Aire de covoiturage Kroas Lesneven,78 ZI de Kroaz Lesneven. 29520 Ch̩teauneuf-du-Faou,CHATEAUNEUF DU FAOU,29027,Aire de covoiturage,-3.822061995,48.20233433,29027,CHATEAUNEUF DU FAOU,29520.0,48.1889732859,-3.82126129764,29.0
1692,Aire de covoiturage La Boissi̩re - Coat Conq,Rue de la Forge. 29900 Concarneau,CONCARNEAU,29039,Aire de covoiturage,-3.901725832,47.92190062,29039,CONCARNEAU,29900.0,47.8966260003,-3.90716871821,29.0
1694,Aire de covoiturage Tal Ar Groas,1 Route de l'Aber. 29160 Crozon,CROZON,29042,Aire de covoiturage,-4.418959835,48.24805282,29042,CROZON,29160.0,48.2449715382,-4.49170347769,29.0
1710,Aire de covoiturage Jean Monnet,ZA de Prat Pip. 175 rue Jean Monnet. 29800 Saint-Divy,LANDERNEAU,29103,Aire de covoiturage,-4.269187605,48.44449453,29103,LANDERNEAU,29800.0,48.4507528968,-4.2643453824,29.0
1725,Aire de covoiturage Keraudy,4 Rue de la Forge. 29217 Plougonvelin,PLOUGONVELIN,29190,Aire de covoiturage,-4.720745248,48.34391896,29190,PLOUGONVELIN,29217.0,48.3513274854,-4.71760872698,29.0
1727,Place Jean Guillou,2 Rue Jean Guillou. 29780 Plouhinec,PLOUHINEC,29197,Parking,-4.484518331,48.01363072,56169,PLOUHINEC,56680.0,47.6929109171,-3.23358959435,56.0
1734,Aire de covoiturage Kernevez,279 Route de Douarnenez. 29000 Quimper,QUIMPER,29232,Aire de covoiturage,-4.147025891,47.99975802,29232,QUIMPER,29000.0,47.9971425162,-4.09111944455,29.0
1735,Aire de covoiturage Park Poullic,1 D770. 29000 Quimper,QUIMPER,29232,Aire de covoiturage,-4.08346776,48.03075507,29232,QUIMPER,29000.0,47.9971425162,-4.09111944455,29.0
1736,Aire de covoiturage Troyalac'H,494 Route de Rosporden. 29000 Quimper,QUIMPER,29232,Aire de covoiturage,-4.015627955,47.97957429,29232,QUIMPER,29000.0,47.9971425162,-4.09111944455,29.0
1737,Aire de covoiturage Kervidanou,1 P̩le d'Act Kervidanou 3. 29300 Mellac,QUIMPERLE,29233,Aire de covoiturage,-3.584241427,47.86830712,29233,QUIMPERLE,29300.0,47.8561303355,-3.55642894655,29.0
1748,A Confina,Lieu-dit Stagnacciu (Croisement RT22 - RD31),AJACCIO,2A004,Supermarch̩,8.783403,41.9523692,2A004,AJACCIO,20167.0,41.9347926638,8.70132275974,20.0
1749,Geant,Route de Mezzavia,AJACCIO,2A004,Supermarch̩,8.774718,41.9502667,2A004,AJACCIO,20167.0,41.9347926638,8.70132275974,20.0
1750,Socordis,Croisement RT20 - RT21 - RT40,AJACCIO,2A004,Aire de covoiturage,8.801744,41.9307942,2A004,AJACCIO,20167.0,41.9347926638,8.70132275974,20.0
1751,Station-service BP,Route du Ricanto. Croisement RT21 - RD503,AJACCIO,2A004,Supermarch̩,8.761640007,41.92940226,2A004,AJACCIO,20167.0,41.9347926638,8.70132275974,20.0
1752,Halte ferroviaires des Salines,Boulevard Charles Bonaparte,AJACCIO,2A004,Parking relais,8.751108031,41.9338384,2A004,AJACCIO,20167.0,41.9347926638,8.70132275974,20.0
1753,U Cimiteriu - Cimetiere,Route des Sanguinaires,AJACCIO,2A004,Parking relais,8.703146,41.9079983,2A004,AJACCIO,20167.0,41.9347926638,8.70132275974,20.0
1761,Gamm Vert,Route de Muratello,PORTO VECCHIO,2A247,Supermarch̩,9.265822555,41.59812894,2A247,PORTO VECCHIO,20137.0,41.5924932873,9.25363087024,20.0
1771,P+R de Toga,Chemin du Furcone,BASTIA,2B033,Parking relais,9.452273554,42.70808906,2B033,BASTIA,20200.0,42.6864768806,9.42502133338,20.0
1772,Sampieru Corsu,Avenue Sampiero Corso (croisement RT11 - RD264),BASTIA,2B033,Parking,9.4449162,42.6773422,2B033,BASTIA,20200.0,42.6864768806,9.42502133338,20.0
1773,Monoprix de Lupino,Croisement RT11 et av Liberation,BASTIA,2B033,Parking,9.4442779,42.6774427,2B033,BASTIA,20200.0,42.6864768806,9.42502133338,20.0
1774,P+R front de mer,Route du front de mer,BASTIA,2B033,Parking relais,9.4459194,42.6864498,2B033,BASTIA,20200.0,42.6864768806,9.42502133338,20.0
1775,Place du Marche,Rue Sebastiano d'Alzetto,BASTIA,2B033,Parking,9.4509029,42.6972375,2B033,BASTIA,20200.0,42.6864768806,9.42502133338,20.0
1776,U Portu di Toga - Port de Toga,Port de Toga,BASTIA,2B033,Parking,9.4537675,42.707582,2B033,BASTIA,20200.0,42.6864768806,9.42502133338,20.0
1780,Rond-point de l'aeroport,Croisement RT30 - RD81,CALVI,2B050,D̩laiss̩ routier,8.783158852,42.5496265,2B050,CALVI,20260.0,42.5454874755,8.7595487404,20.0
1790,Tesa,Croisement RT30 - RD108,LAMA,2B136,Aire de covoiturage,9.152213863,42.57743681,2B136,LAMA,20218.0,42.5804431828,9.16621069911,20.0
1806,Parking de la C̩ze,Chemin de la petite C̩ze,BAGNOLS SUR CEZE,30028,Parking,4.620404,44.16839,30028,BAGNOLS SUR CEZE,30200.0,44.1622496736,4.62477380854,30.0
1811,Parking de covoiturage de N̨mes Est,A9 Sortie 24 N̨mes Est,NIMES,30189,Aire de covoiturage,4.418366,43.857835,30189,NIMES,30900.0,43.844938394,4.34806796996,30.0
1922,Aire de covoiturage Etrigny,aire de pique-nique en face du garage Citro,MIRANDE,32256,Aire de covoiturage,0.409371294,43.5155078,32256,MIRANDE,32300.0,43.5186713962,0.410792361049,32.0
1923,Parking D137 - D943,croisement de la D137 et D943,MONTESQUIOU,32285,Aire de covoiturage,0.333106298,43.57742231,32285,MONTESQUIOU,32320.0,43.5780506568,0.33230525991,32.0
1928,Parking Place des Halles,parking entre le pont de la Save et de la Sav,SAMATAN,32410,Aire de covoiturage,0.933814246,43.4883589,32410,SAMATAN,32130.0,43.4935426323,0.934596447621,32.0
1931,Parking du Coll̩ge,place Zaccaharie Baquet (parking du collage),VIC FEZENSAC,32462,Aire de covoiturage,0.300569617,43.7594812,32462,VIC FEZENSAC,32190.0,43.762029942,0.297842185088,32.0
1936,Aire de covoiturage du Ch̩teau D'Eau,D215,ANDERNOS LES BAINS,33005,Aire de covoiturage,-1.094711,44.744505,33005,ANDERNOS LES BAINS,33510.0,44.754520164,-1.08109347037,33.0
1969,Parking Centre Commercial La House,D1010,CANEJAN,33090,Parking,-0.641595,44.751134,33090,CANEJAN,33610.0,44.7598891584,-0.65697711026,33.0
1977,Parking Carrefour Market Cr̩on,D671,CREON,33140,Parking,-0.336403,44.772167,33140,CREON,33670.0,44.770425384,-0.343606134456,33.0
1984,Place Docteur dejean,D936,FARGUES ST HILAIRE,33165,Parking,-0.448803,44.823904,33165,FARGUES ST HILAIRE,33370.0,44.819815277,-0.439992385579,33.0
1990,Parking de covoiturage de Langon,A62 Sortie 3 Langon,LANGON,33227,Aire de covoiturage,-0.262484,44.544782,35145,LANGON,35660.0,47.733471612,-1.87194975237,35.0
1990,Parking de covoiturage de Langon,A62 Sortie 3 Langon,LANGON,33227,Aire de covoiturage,-0.262484,44.544782,33223,LANGON,33210.0,44.7425058294,0.160918010334,33.0
1992,Parking Avenue de La Gare,D3,LEGE CAP FERRET,33236,Parking,-1.145753,44.795933,33236,LEGE CAP FERRET,33950.0,44.7609440223,-1.19293697437,33.0
1993,Parking E. Leclerc,D651,LEOGNAN,33238,Parking,-0.590252,44.748208,33238,LEOGNAN,33850.0,44.7191460436,-0.614707683753,33.0
1994,Place du March̩,D651,LEOGNAN,33238,Parking,-0.599495,44.728587,33238,LEOGNAN,33850.0,44.7191460436,-0.614707683753,33.0
2034,Aire de covoiturage des Chapelles,D2089,ST DENIS DE PILE,33393,Aire de covoiturage,-0.149319,44.980261,33393,ST DENIS DE PILE,33910.0,44.9879017706,-0.183958862029,33.0
2035,Parking du Stade,D104,STE HELENE,33417,Parking,-0.88581,44.965635,33417,STE HELENE,33480.0,44.9726615806,-0.913525242529,33.0
2048,Parking Cimeti̩re,D11,TARGON,33523,Parking,-0.265592,44.73805,33523,TARGON,33760.0,44.7345410468,-0.267821650496,33.0
2049,Aire de covoiturage de La Plaine des Sports,N250,LA TESTE DE BUCH,33529,Aire de covoiturage,-1.124253,44.618751,33529,LA TESTE DE BUCH,33260.0,44.5561823053,-1.17530826791,33.0
2051,Aire de covoiturage de Senau,D2089,VAYRES,33539,Aire de covoiturage,-0.31086,44.882746,33539,VAYRES,33870.0,44.8910656059,-0.32583268578,33.0
2090,Aire de covoiturage Rond-Point du Capitaine Alfred Dreyfus,15 Route de Boujan. 34500 B̩ziers,BEZIERS,34032,Aire de covoiturage,3.224205,43.367095,34032,BEZIERS,34500.0,43.3475883319,3.23076754164,34.0
2091,Parking de covoiturage de B̩ziers Ouest,A9 Sortie 36 B̩ziers Ouest,BEZIERS,34032,Aire de covoiturage,3.216445,43.304576,34032,BEZIERS,34500.0,43.3475883319,3.23076754164,34.0
2144,Aire de covoiturage de Gignac,D32. 34150 Gignac,GIGNAC,34114,Aire de covoiturage,3.544436,43.64683,34114,GIGNAC,34150.0,43.6393937216,3.57384628868,34.0
2144,Aire de covoiturage de Gignac,D32. 34150 Gignac,GIGNAC,34114,Aire de covoiturage,3.544436,43.64683,46118,GIGNAC,46600.0,44.9899523314,1.46272754104,46.0
2215,Aire de covoiturage de Pezenas,Chemin de Castres. 34120 P̩zenas,PEZENAS,34199,Aire de covoiturage,3.435665,43.477251,34199,PEZENAS,34120.0,43.462990168,3.41651652125,34.0
2382,Parking covoiturage de Bain-De-Bretagne,Rue de la Seine,BAIN DE BRETAGNE,35012,Parking,-1.691320666,47.851885,35012,BAIN DE BRETAGNE,35470.0,47.8302948158,-1.67649507218,35.0
2383,Parking La Croix Blanche,La Croix Blanche,BAIN DE BRETAGNE,35012,Parking,-1.680102914,47.85371358,35012,BAIN DE BRETAGNE,35470.0,47.8302948158,-1.67649507218,35.0
2401,Aire de covoiturage Br̩al-Sous-Montfort,Les 4 routes,BREAL SOUS MONTFORT,35037,Aire de covoiturage,-1.877751333,48.061167,35037,BREAL SOUS MONTFORT,35310.0,48.044637167,-1.86571618785,35.0
2413,Aire de covoiturage de Chartres-De-Bretagne,Rond point p̩le sud,CHARTRES DE BRETAGNE,35066,Aire de covoiturage,-1.695398999,48.04313333,35066,CHARTRES DE BRETAGNE,35131.0,48.0451561683,-1.70650297343,35.0
2430,Parking du Cimeti̩re,Rue des Elfes,DINARD,35093,Parking,-2.059937,48.620165,35093,DINARD,35800.0,48.6241805945,-2.0619828606,35.0
