id_festival,nom_manifestation,date_debut,date_fin,site_web,tarif_pass,lieu_principal,codeINSEE,domaine,sous_domaine,nbPassTotal
10,7 BIS CHEMIN DE TRAVERSE,2024-03-30,2024-04-14,http://www.resonancecontemporaine.org,28,BOURG EN BRESSE,01053,PLURIDISCIPLINAIRE MUSIQUE,PLURIDISCIPLINAIRE MUSIQUE,140
11,A lOuest,2024-06-14,2024-06-16,http://lablaiserie.centres-sociaux.fr/festivites-programmation/festival-de-rue-a-louest/,32,POITIERS,86194,CIRQUE ET ARTS DE LA RUE,ARTS DE LA RUE,210
12,À LA FOLIE PAS DU TOUT,2024-07-22,2024-09-02,www.monastere-de-brou.fr,18,BOURG EN BRESSE,01053,MUSIQUES ACTUELLES,MUSIQUES ACTUELLES,53
13,A L'AIZE FEST,2024-06-10,2024-06-10,,34,AIZENAY,85003,PLURIDISCIPLINAIRE SPECTACLE VIVANT,PLURIDISCIPLINAIRE SPECTACLE VIVANT,146
14,A L'ART RUE,2024-06-02,2024-06-04,www.alartlibre.com,30,LA PREVIERE,49248,PLURIDISCIPLINAIRE SPECTACLE VIVANT,PLURIDISCIPLINAIRE SPECTACLE VIVANT,122
15,A L'EST DES DUNES - Jazz à Sables d'or,2024-07-19,2024-08-11,www.alestdesdunes.com,33,FREHEL,22179,MUSIQUES ACTUELLES,"JAZZ, BLUES ET MUSIQUES IMPROVISÉES",151
16,A Pas Contés,2024-02-09,2024-02-23,www.apascontes.fr,26,DIJON,21231,PLURIDISCIPLINAIRE SPECTACLE VIVANT,PLURIDISCIPLINAIRE SPECTACLE VIVANT,207
17,A PORTEE DE RUE,2024-07-17,2024-07-19,www.ville-castres.fr/kiosque/festival-portee-de-rue-programme-2018,16,CASTRES,81065,MUSIQUES CLASSIQUES,MUSIQUES CLASSIQUES,187
18,A TANT REVER DU ROI,2024-10-05,2024-10-07,www.atrdr.net/festival,26,PAU,64445,MUSIQUES ACTUELLES,MUSIQUES AMPLIFIÉES OU ÉLECTRONIQUES,286
19,A TEMPO,2024-10-06,2024-10-08,www.a-tempo.fr,29,Lavaur,81140,MUSIQUES CLASSIQUES,MUSIQUES CLASSIQUES,240
20,A TOUT BOUT DE CHANT,2024-03-15,2024-04-07,www.magny-les-hameaux.fr,19,MAGNY LES HAMEAUX,78356,PLURIDISCIPLINAIRE SPECTACLE VIVANT,PLURIDISCIPLINAIRE SPECTACLE VIVANT,92
21,A TRAVERS CHANTS,2024-03-14,2024-03-23,www.festivalatraverschants.over-blog.com,21,COSSE LE VIVIEN,53077,MUSIQUES ACTUELLES,CHANSON,263
22,A TRAVERS CHANTS,2024-03-01,2024-03-30,www.atraverschants.org,19,ST SAULVE,59544,MUSIQUES ACTUELLES,CHANSON,57
23,A VAULX JAZZ,2024-03-11,2024-03-30,www.avaulxjazz.com,27,VAULX EN VELIN,69256,MUSIQUES ACTUELLES,"JAZZ, BLUES ET MUSIQUES IMPROVISÉES",188
24,A VOUS DE JOUER,2024-05-16,2024-06-01,https://www.lenombrildumonde.com/a-vous-de-jouer/,28,LYON,69381,DIVERS SPECTACLE VIVANT,HUMOUR,199
25,AAH ! LES DEFERLANTES !,2024-03-18,2024-03-23,www.train-theatre.fr,29,PORTES LES VALENCE,26252,MUSIQUES ACTUELLES,CHANSON,296
26,ABADIE FESTIVAL MUSIQUE,2024-06-15,2024-06-16,,9,NICE,06088,MUSIQUES ACTUELLES,MUSIQUES AMPLIFIÉES OU ÉLECTRONIQUES,134
27,ABBAYE DE SAINT-RIQUIER,2024-07-04,2024-07-16,www.ccr-abbaye-saint-riquier.fr,19,ST RIQUIER,80716,MUSIQUES CLASSIQUES,MUSIQUES CLASSIQUES,79
28,ABERS BLUES,2024-11-03,2024-12-01,www.hot-club-jazz-iroise.fr/,13,BRELES,29017,MUSIQUES ACTUELLES,"JAZZ, BLUES ET MUSIQUES IMPROVISÉES",166
29,ABRACADA'SONS,2024-09-10,2024-10-07,http://www.paysdelauzun.com/fr,27,MIRAMONT DE GUYENNE,47168,MUSIQUES ACTUELLES,MUSIQUES ACTUELLES,162
30,ABSOLUTE GOSPEL,2024-06-10,2024-06-10,www.absolutegospel.net,8,LYON,69381,MUSIQUES ACTUELLES,"JAZZ, BLUES ET MUSIQUES IMPROVISÉES",175
31,Académie Bach,2024-08-22,2024-08-26,www.academie-bach.fr,11,ARQUES LA BATAILLE,76026,MUSIQUES CLASSIQUES,BAROQUE ET ANCIEN,212
32,ACCORDEON PLURIEL,2024-09-22,2024-09-24,www.accordeonpluriel.fr,11,MONTPELLIER,34172,PLURIDISCIPLINAIRE MUSIQUE,PLURIDISCIPLINAIRE MUSIQUE,188
33,ACONTRALUZ,2024-09-08,2024-09-09,http://www.acontraluz.fr/,20,MARSEILLE,13201,MUSIQUES ACTUELLES,MUSIQUES AMPLIFIÉES OU ÉLECTRONIQUES,197
34,Acoustic Festival,2024-03-22,2024-03-24,www.acoustic-festival.fr,21,Le Poire sur Vie,85178,MUSIQUES ACTUELLES,MUSIQUES AMPLIFIÉES OU ÉLECTRONIQUES,148
35,Actoral,2024-09-26,2024-10-14,http://www.actoral.org,24,MARSEILLE,13201,PLURIDISCIPLINAIRE SPECTACLE VIVANT,PLURIDISCIPLINAIRE SPECTACLE VIVANT,203
36,AEROBD,2024-05-18,2024-05-19,http://aerobd-istres.fr/,23,ISTRES,13047,LIVRE ET LITTÉRATURE,BANDE DESSINÉE,192
37,AFRICAJARC,2024-07-20,2024-07-23,www.africajarc.com,24,CAJARC,46045,MUSIQUES ACTUELLES,MUSIQUES TRADITIONNELLES ET DU MONDE,268
38,AFRICOLOR,2024-11-17,2024-12-23,www.africolor.com,30,ST DENIS,93066,MUSIQUES ACTUELLES,MUSIQUES TRADITIONNELLES ET DU MONDE,188
39,AFRIK' AU COEUR,2024-10-05,2024-11-25,https://www.afrikaucoeur.fr/home,25,AUXERRE,89024,TRANSDISCIPLINAIRE,CULTURES D'AFRIQUE,222
40,Afropunk Festival,2024-07-15,2024-07-16,www.afropunkfest.com,26,PARIS,75101,MUSIQUES ACTUELLES,MUSIQUES AMPLIFIÉES OU ÉLECTRONIQUES,275
41,AGIT AL SOL,2024-03-22,2024-03-24,www.musicalsol.fr/,21,Villegly,11426,MUSIQUES ACTUELLES,MUSIQUES ACTUELLES,113
42,AGLA'SCÈNES,2024-04-06,2024-04-06,www.aglascenes.com,28,EGLY,91207,MUSIQUES ACTUELLES,MUSIQUES AMPLIFIÉES OU ÉLECTRONIQUES,280
43,AHOY MUSIQUES DE PLAISANCE,2024-06-02,2024-06-04,,23,BORDEAUX,33063,PLURIDISCIPLINAIRE SPECTACLE VIVANT,PLURIDISCIPLINAIRE SPECTACLE VIVANT,276
44,AI QUE BOM FESTIVAL,2024-04-11,2024-04-14,www.aiquebom.com,22,PARIS,75101,MUSIQUES ACTUELLES,MUSIQUES TRADITIONNELLES ET DU MONDE,125
45,AIX EN PROVOCK,2024-05-18,2024-05-19,provock.fr,15,AIX EN PROVENCE,13001,MUSIQUES ACTUELLES,MUSIQUES AMPLIFIÉES OU ÉLECTRONIQUES,273
46,Albertville Jazz Festival,2024-07-26,2024-07-30,www.albertvillejazzfestival.com,17,ALBERTVILLE,73011,MUSIQUES ACTUELLES,"JAZZ, BLUES ET MUSIQUES IMPROVISÉES",132
47,ALGUES AU RYTHME,2024-06-07,2024-06-09,www.alguesaurythme.com,24,ARRADON,56003,MUSIQUES ACTUELLES,MUSIQUES AMPLIFIÉES OU ÉLECTRONIQUES,201
48,ALORS ON SEME,2024-03-21,2024-03-23,http://jardinsdurire.com,8,ANGERS,49007,DIVERS SPECTACLE VIVANT,HUMOUR,181
49,ALPIN'DUB,2024-08-24,2024-08-26,http://alpindub.fr/,8,Sept Laux Prapoutel,38002,MUSIQUES ACTUELLES,MUSIQUES ACTUELLES,150
50,ALTITUDE JAZZ FESTIVAL,2024-01-20,2024-02-03,www.altitudejazz.com,22,BRIANCON,05023,MUSIQUES ACTUELLES,"JAZZ, BLUES ET MUSIQUES IMPROVISÉES",156
51,AMANAD'ARTS,2024-05-24,2024-05-26,https://www.facebook.com/204372450492559/photos/gm.2406403782979224/272600500336420/?type=3&theater,23,ALBI,81004,TRANSDISCIPLINAIRE,ARTS PLATIQUES ET MUSIQUE,206
52,AMERICAN FAIR,2024-06-15,2024-06-16,https://www.festival-american-fair.com,22,CHATEAUNEUF LES MARTIGUES,13026,MUSIQUES ACTUELLES,MUSIQUES AMPLIFIÉES OU ÉLECTRONIQUES,217
53,AMERICAN JAZZ FESTIV'HALLES,2024-07-02,2024-08-16,www.sunset-sunside.com,21,PARIS,75101,MUSIQUES ACTUELLES,"JAZZ, BLUES ET MUSIQUES IMPROVISÉES",296
54,AMERICAN SALOON A TARBES,2024-09-15,2024-09-17,http://www.americansaloon.fr/,22,TARBES,65440,PLURIDISCIPLINAIRE SPECTACLE VIVANT,PLURIDISCIPLINAIRE SPECTACLE VIVANT,130
55,AMERICAN TOURS FESTIVAL,2024-07-14,2024-07-16,www.tours-evenements.com,29,TOURS,37261,MUSIQUES ACTUELLES,MUSIQUES AMPLIFIÉES OU ÉLECTRONIQUES,262
56,Amiens Europe,2024-01-17,2024-01-26,http://www.maisondelaculture-amiens.com/,15,AMIENS,80021,PLURIDISCIPLINAIRE SPECTACLE VIVANT,PLURIDISCIPLINAIRE SPECTACLE VIVANT,173
57,Amiens Tout-monde,2024-03-11,2024-03-19,http://www.maisondelaculture-amiens.com/,29,AMIENS,80021,TRANSDISCIPLINAIRE,TRANSDISCIPLINAIRE,173
58,AMIS DU JAZZ TRADITIONNEL,2024-03-22,2024-03-24,www.ajtderochegude.com,24,ROCHEGUDE,26275,MUSIQUES ACTUELLES,"JAZZ, BLUES ET MUSIQUES IMPROVISÉES",197
59,Annecy Paysages,2024-07-01,2024-09-03,www.annecy-paysages.com,9,ANNECY,74010,TRANSDISCIPLINAIRE,TRANSDISCIPLINAIRE,183
60,ANYMAL,2024-11-18,2024-11-18,https://www.facebook.com/anymalworld,16,MONTPELLIER,34172,PLURIDISCIPLINAIRE SPECTACLE VIVANT,PLURIDISCIPLINAIRE SPECTACLE VIVANT,122
61,Août musical de Deauville,2024-07-29,2024-08-12,https://musiqueadeauville.com/,25,DEAUVILLE,14220,MUSIQUES CLASSIQUES,MUSIQUE DE CHAMBRE,201
62,Août of jazz,2024-08-18,2024-08-20,,8,Capbreton,40065,MUSIQUES ACTUELLES,"JAZZ, BLUES ET MUSIQUES IMPROVISÉES",132
63,APÉROS MUSIQUE DE BLESLE,2024-08-11,2024-08-13,www.aperos-musique-blesle.com,14,BLESLE,43033,MUSIQUES ACTUELLES,MUSIQUES ACTUELLES,77
64,APERO'ZIQUES,2024-07-17,2024-08-21,www.nefdesfous.wordpress.com,13,ST Pern,35307,MUSIQUES ACTUELLES,MUSIQUES ACTUELLES,87
65,Après les vendanges,2024-10-31,2024-12-01,http://www.apreslesvendanges.com,14,VAISON LA ROMAINE,84137,MUSIQUES ACTUELLES,"JAZZ, BLUES ET MUSIQUES IMPROVISÉES",268
66,Arabesques,2024-09-13,2024-09-24,www.festivalarabesques.fr,35,MONTPELLIER,34172,TRANSDISCIPLINAIRE,TRANSDISCIPLINAIRE,96
67,ARCACHON EN SCÈNE,2024-07-26,2024-08-04,http://www.arcachon.com/arcachon_en_scene.html,27,ARCACHON,33009,MUSIQUES ACTUELLES,MUSIQUES AMPLIFIÉES OU ÉLECTRONIQUES,115
68,ARCHÉO JAZZ FESTIVAL,2024-06-28,2024-07-01,www.archeojazz.com,33,BLAINVILLE CREVON,76100,MUSIQUES ACTUELLES,"JAZZ, BLUES ET MUSIQUES IMPROVISÉES",259
69,Archifête,2024-06-17,2024-06-18,https://www.ville-petit-couronne.fr/Services-en-ligne/Agenda/Archifete,23,Petit Couronne,76497,CIRQUE ET ARTS DE LA RUE,ARTS DE LA RUE,243
70,ARDÈCHE ALUNA FESTIVAL,2024-06-15,2024-06-17,www.aluna-festival.fr,31,RUOMS,07201,MUSIQUES ACTUELLES,MUSIQUES AMPLIFIÉES OU ÉLECTRONIQUES,155
71,Argelliers Jazz Estival,2024-07-21,2024-07-22,www.argelliersjazzestival.wordpress.com,13,Argelliers,34012,MUSIQUES ACTUELLES,"JAZZ, BLUES ET MUSIQUES IMPROVISÉES",196
72,ARMADA DE ROUEN,2024-06-06,2024-06-16,https://www.armada.org/,31,ROUEN,76540,TRANSDISCIPLINAIRE,TRANSDISCIPLINAIRE,197
73,ARMOR DE RIRE,2024-10-06,2024-10-07,http://armor-de-rire.net-helium.fr/,12,ST BRIEUC,22278,DIVERS SPECTACLE VIVANT,HUMOUR,188
74,ARRAS COMEDY FESTIVAL,2024-03-08,2024-03-10,www.arras.fr/fr/actualites/arras-comedy-festival,30,ARRAS,62041,DIVERS SPECTACLE VIVANT,HUMOUR,83
75,Art contemporain en milieu rural,2024-06-04,2024-10-08,https://www.galerie-tem.fr/,18,GOVILLER,54235,ARTS PLASTIQUES ET VISUELS,ARTS PLASTIQUES ET VISUELS,129
76,Art Danse,2024-01-22,2024-02-07,https://art-danse.org/,8,DIJON,21231,DANSE,DANSE CONTEMPORAINE,211
77,ART N JAZZ FESTIVAL,2024-10-01,2024-10-01,http://www.art-n-jazz.com,34,STE VERTU,89371,MUSIQUES ACTUELLES,"JAZZ, BLUES ET MUSIQUES IMPROVISÉES",197
78,ART ROCK,2024-06-07,2024-06-09,www.artrock.org,23,ST BRIEUC,22278,PLURIDISCIPLINAIRE SPECTACLE VIVANT,PLURIDISCIPLINAIRE SPECTACLE VIVANT,244
79,ART SONIC,2024-07-21,2024-07-22,www.festival-artsonic.com,31,BRIOUZE,61063,MUSIQUES ACTUELLES,MUSIQUES ACTUELLES,107
80,Art Up !,2024-02-29,2024-03-03,https://lille.art-up.com/,34,LILLE,59350,ARTS PLASTIQUES ET VISUELS,ARTS PLASTIQUES ET VISUELS,245
81,Arte Mare - Festival du film méditerranéen de Bastia,2024-10-07,2024-10-14,www.arte-mare.corsica,11,BASTIA,2B033,CINÉMA ET AUDIOVISUEL,CINÉMAS ÉTRANGERS,75
82,ARTETANGO,2024-10-28,2024-11-05,www.artetango-festival.com,35,ALBI,81004,PLURIDISCIPLINAIRE SPECTACLE VIVANT,DANSE ET MUSIQUE,87
83,ARTHUR'S DAY FESTIVAL,2024-09-22,2024-09-23,www.arthurs-day-festival.com,35,GRANDVILLIERS,60286,MUSIQUES ACTUELLES,MUSIQUES AMPLIFIÉES OU ÉLECTRONIQUES,253
84,ARTIMINI,2024-03-05,2024-04-06,www.ville-bethune.fr,15,Bethune,62119,PLURIDISCIPLINAIRE SPECTACLE VIVANT,JEUNE PUBLIC,247
85,ARTIST'O CHAMPS,2024-07-09,2024-07-09,www.artistochamps.jimdo.com,35,VIHIERS,49373,MUSIQUES ACTUELLES,MUSIQUES AMPLIFIÉES OU ÉLECTRONIQUES,232
86,Art'Pantin Forum Régional de la Marionnette,2024-10-04,2024-10-08,https://arema-lr.fr/,24,VERGEZE,30344,DIVERS SPECTACLE VIVANT,MARIONNETTES,160
87,ARTS À LA POINTE,2024-07-13,2024-08-17,www.artsalapointe.com,35,AUDIERNE,29003,MUSIQUES ACTUELLES,MUSIQUES ACTUELLES,151
88,ARTS EN JAZZ A COURS ET JARDINS,2024-06-02,2024-06-11,,35,LYON,69381,MUSIQUES ACTUELLES,"JAZZ, BLUES ET MUSIQUES IMPROVISÉES",205
89,ARVERNE REGGAE FESTIVAL,2024-05-12,2024-05-13,http://arvernereggaefest.wixsite.com/arverne-reggae-fest,15,Brassac les Mines,63050,MUSIQUES ACTUELLES,MUSIQUES AMPLIFIÉES OU ÉLECTRONIQUES,288
90,ASCENSION DU SON,2024-05-29,2024-05-30,www.ascensionduson.com,34,Plemy,22184,MUSIQUES ACTUELLES,MUSIQUES ACTUELLES,227
91,Aspects des musiques d'aujourd'hui,2024-03-19,2024-03-24,http://www.orchestredecaen.fr/,21,CAEN,14118,MUSIQUES CLASSIQUES,MUSIQUE CONTEMPORAINE,182
92,Assises de la traduction littéraire,2024-11-08,2024-11-10,www.atlas-citl.org,25,ARLES,13004,LIVRE ET LITTÉRATURE,TRADUCTION,51
93,Assises internationales du roman,2024-05-20,2024-05-26,http://www.villagillet.net/festivals/assises-internationales-du-roman,35,LYON,69381,LIVRE ET LITTÉRATURE,LIVRE ET LITTÉRATURE,209
94,ASTROPOLIS,2024-07-07,2024-07-09,www.astropolis.org,21,BREST,29019,MUSIQUES ACTUELLES,MUSIQUES AMPLIFIÉES OU ÉLECTRONIQUES,294
95,ASTROPOLIS L'HIVER,2024-02-06,2024-02-11,,21,BREST,29019,MUSIQUES ACTUELLES,MUSIQUES AMPLIFIÉES OU ÉLECTRONIQUES,58
96,ATELIERS JAZZ DE MESLAY-GREZ,2024-05-25,2024-06-01,www.festivaljazz-meslay.com,22,MESLAY DU MAINE,53152,MUSIQUES ACTUELLES,"JAZZ, BLUES ET MUSIQUES IMPROVISÉES",91
97,ATHENA BLUES FESTIVAL,2024-11-16,2024-11-22,http://bluesinathena.wixsite.com/bluesinathena/blues-in-festival,25,ST Saulve,59544,MUSIQUES ACTUELLES,"JAZZ, BLUES ET MUSIQUES IMPROVISÉES",291
98,ATLANTIQUE JAZZ FESTIVAL,2024-09-29,2024-10-15,www.atlantiquejazzfestival.com,22,BREST,29019,MUSIQUES ACTUELLES,"JAZZ, BLUES ET MUSIQUES IMPROVISÉES",84
99,ATOM FESTIVAL,2024-06-30,2024-07-02,,27,Castelnaudary,11076,PLURIDISCIPLINAIRE SPECTACLE VIVANT,PLURIDISCIPLINAIRE SPECTACLE VIVANT,115
100,ATOUT ARTS,2024-07-12,2024-07-15,www.theatre-thouars.com,19,THOUARS,79329,MUSIQUES ACTUELLES,MUSIQUES TRADITIONNELLES ET DU MONDE,287
101,ATTENTION LES FEUILLES !,2024-10-06,2024-10-15,http://theatredescollines.annecy.fr/festivals/attention-les-feuilles/,20,MEYTHET,74182,MUSIQUES ACTUELLES,CHANSON,126
102,AU BONHEUR DES MÔMES,2024-08-27,2024-09-01,www.aubonheurdesmomes.com,34,LE GRAND BORNAND,74136,PLURIDISCIPLINAIRE SPECTACLE VIVANT,PLURIDISCIPLINAIRE SPECTACLE VIVANT,93
103,AU COEUR DE COSNE,2024-07-07,2024-07-08,http://www.festival-cosne.net,9,Cosne d Allier,03084,PLURIDISCIPLINAIRE SPECTACLE VIVANT,PLURIDISCIPLINAIRE SPECTACLE VIVANT,71
104,AU COIN DE MA RUE,2024-09-10,2024-09-10,https://fr-fr.facebook.com/aucoindemarue/,12,ROMILLE,35245,CIRQUE ET ARTS DE LA RUE,ARTS DE LA RUE,69
105,Au Fil de la marionnette,2024-11-07,2024-11-29,http://spectaclevivant.hautbearn.fr/,18,Oloron STE Marie,64422,DIVERS SPECTACLE VIVANT,MARIONNETTES,108
106,AU FIL DES VOIX PARIS,2024-02-05,2024-02-17,www.aufildesvoix.com,34,PARIS,75101,MUSIQUES ACTUELLES,MUSIQUES TRADITIONNELLES ET DU MONDE,280
107,AU FIL DU SON,2024-07-27,2024-07-29,www.lachmiseverte.com,17,CIVRAY,86078,MUSIQUES ACTUELLES,MUSIQUES AMPLIFIÉES OU ÉLECTRONIQUES,208
108,AU FOIN DE LA RUE,2024-07-07,2024-07-08,www.aufoindelarue.com,28,ST DENIS DE GASTINES,53211,MUSIQUES ACTUELLES,MUSIQUES AMPLIFIÉES OU ÉLECTRONIQUES,125
109,AU GRES DU JAZZ,2024-08-05,2024-08-16,http://www.ot-paysdelapetitepierre.com/,8,La Petite Pierre,67371,MUSIQUES ACTUELLES,"JAZZ, BLUES ET MUSIQUES IMPROVISÉES",256
110,AU PAYS DU MOME,2024-03-03,2024-04-30,https://www.paysdumome.com/,22,CHANGE,53054,PLURIDISCIPLINAIRE SPECTACLE VIVANT,PLURIDISCIPLINAIRE SPECTACLE VIVANT,105
111,AU PONT DU ROCK,2024-08-04,2024-08-05,www.aupontdurock.com,8,MALESTROIT,56124,MUSIQUES ACTUELLES,MUSIQUES AMPLIFIÉES OU ÉLECTRONIQUES,289
112,AU PRÉ DE MON ANE,2024-08-18,2024-08-19,,24,EVRES,55185,MUSIQUES ACTUELLES,MUSIQUES ACTUELLES,153
113,AU SON D'EUH LO !,2024-09-08,2024-09-09,www.ausondeuhlo.com,15,TESSY SUR VIRE,50592,MUSIQUES ACTUELLES,MUSIQUES AMPLIFIÉES OU ÉLECTRONIQUES,152
114,AU SUD DU NORD,2024-09-20,2024-09-24,www.ausuddunord.fr,10,CERNY,91129,MUSIQUES ACTUELLES,"JAZZ, BLUES ET MUSIQUES IMPROVISÉES",238
115,AUBERCAIL,2024-05-22,2024-05-25,www.aubercail.fr,13,AUBERVILLIERS,93001,MUSIQUES ACTUELLES,CHANSON,274
116,AUBER'JAZZ'DAY,2024-07-06,2024-07-09,http://www.auberjazzday.com/,12,AUBERVILLIERS,93001,MUSIQUES ACTUELLES,"JAZZ, BLUES ET MUSIQUES IMPROVISÉES",243
117,AUCARD DE TOURS,2024-06-05,2024-06-09,www.radiobeton.com,25,TOURS,37261,MUSIQUES ACTUELLES,MUSIQUES AMPLIFIÉES OU ÉLECTRONIQUES,81
118,AUJOURD'HUI MUSIQUES,2024-11-17,2024-11-26,http://www.aujourdhuimusiques.com,28,PERPIGNAN,66136,MUSIQUES CLASSIQUES,MUSIQUE CONTEMPORAINE,209
119,AURORES MONTREAL,2024-12-04,2024-12-10,https://www.oocto.com,20,PARIS,75101,MUSIQUES ACTUELLES,MUSIQUES ACTUELLES,265
120,AUTAN DE BLUES,2024-01-26,2024-02-04,http://www.bolegason.org/,18,CASTRES,81065,MUSIQUES ACTUELLES,"JAZZ, BLUES ET MUSIQUES IMPROVISÉES",245
121,AUTAN EN FANFARE,2024-05-17,2024-05-19,www.autanenfanfare.com,11,St Felix Lauragais,31478,MUSIQUES ACTUELLES,MUSIQUES TRADITIONNELLES ET DU MONDE,224
122,AUTHENTIKS,2024-07-19,2024-07-19,www.festival-authentiks.com,23,VIENNE,38544,MUSIQUES ACTUELLES,MUSIQUES AMPLIFIÉES OU ÉLECTRONIQUES,125
123,AUTOMNALES,2024-10-05,2024-11-26,www.puydedome.fr,33,CLERMONT FERRAND,63113,PLURIDISCIPLINAIRE SPECTACLE VIVANT,PLURIDISCIPLINAIRE SPECTACLE VIVANT,147
124,AUTOMNE MUSICAL DE NIMES,2024-10-01,2024-12-17,www.automne-musical-nimes.org,11,NIMES,30189,MUSIQUES CLASSIQUES,MUSIQUES CLASSIQUES,168
125,AUTOMNE MUSICAL DE TAVERNY,2024-09-15,2024-10-07,www.automnemusicaltaverny.com,29,Taverny,95607,MUSIQUES CLASSIQUES,MUSIQUES CLASSIQUES,128
126,AUTOMNE MUSICAL DU VESINET,2024-10-13,2024-10-15,www.automnemusicalduvesinet.fr,8,LE VESINET,78650,MUSIQUES CLASSIQUES,MUSIQUES CLASSIQUES,88
127,AUTRES RIVAGES,2024-07-16,2024-07-26,www.autres-rivages.com,24,NIMES,30189,MUSIQUES ACTUELLES,MUSIQUES TRADITIONNELLES ET DU MONDE,247
128,AUX HEURES D'ÉTÉ,2024-07-11,2024-08-18,www.auxheuresete.com,8,NANTES,44109,MUSIQUES ACTUELLES,MUSIQUES ACTUELLES,164
129,AUX RIRES ETC,2024-01-21,2024-01-27,http://auxrires.fr/,30,GRENOBLE,38185,DIVERS SPECTACLE VIVANT,HUMOUR,281
130,Avant Curieux,2024-10-10,2024-10-13,http://www.theatreonyx.fr/programme/avant-curieux-1,31,ST HERBLAIN,44162,CIRQUE ET ARTS DE LA RUE,CIRQUE ET ARTS DE LA RUE,168
131,AVEC LE TEMPS,2024-03-12,2024-03-17,www.festival-avecletemps.com,27,MARSEILLE,13201,MUSIQUES ACTUELLES,CHANSON,53
132,AVIGNON JAZZ FESTIVAL,2024-08-02,2024-08-06,www.tremplinjazzavignon.fr,8,AVIGNON,84007,MUSIQUES ACTUELLES,"JAZZ, BLUES ET MUSIQUES IMPROVISÉES",119
133,Avis de temps fort,2024-05-11,2024-05-12,https://avisdetempsfort.wordpress.com/,22,GAVRES,56062,CIRQUE ET ARTS DE LA RUE,ARTS DE LA RUE,94
134,Avoine Zone Groove,2024-06-30,2024-07-02,www.avoinezonegroove.fr,31,AVOINE,37011,MUSIQUES ACTUELLES,MUSIQUES AMPLIFIÉES OU ÉLECTRONIQUES,267
135,Avril des Clowns,2024-04-19,2024-04-21,https://www.avrildesclowns.com/,22,VENDEMIAN,34328,CIRQUE ET ARTS DE LA RUE,CIRQUE,254
136,AWARANDA,2024-09-09,2024-09-09,http://awaranda.fr/,27,IGUERANDE,71238,MUSIQUES ACTUELLES,MUSIQUES TRADITIONNELLES ET DU MONDE,269
137,Aymon Folk Festival,2024-07-21,2024-07-22,www.aymonfolkfestival.fr/,33,Bogny sur Meuse,08081,MUSIQUES ACTUELLES,MUSIQUES TRADITIONNELLES ET DU MONDE,158
138,AY-ROOP [Temps Fort arts du cirque],2024-03-14,2024-03-30,www.ay-roop.com,12,RENNES,35238,CIRQUE ET ARTS DE LA RUE,CIRQUE,124
139,AZIMUT FESTIVAL,2024-10-06,2024-10-08,www.azimutfestival.com,32,LA PESSE,39413,MUSIQUES ACTUELLES,MUSIQUES ACTUELLES,146
140,BABEL MINOTS,2024-03-12,2024-03-23,http://www.villesdesmusiquesdumonde.com,33,MARSEILLE,13201,MUSIQUES ACTUELLES,MUSIQUES TRADITIONNELLES ET DU MONDE,90
