id_covoiturage,couleur,date_depart,marque,modele,nb_place,nb_place_dispo,id_utilisateur,festival
35,LightSlateGray,2024-08-24 07:20:10.000000,Land,Rover,3,,19081.0,898
36,PaleTurquoise,2024-05-25 15:39:08.000000,Volkswagen,Rabbit,3,,97537.0,2253
37,Orange,2024-04-15 21:03:08.000000,Buick,Century,4,,91032.0,1807
38,LightCyan,2024-06-20 07:13:52.000000,MAZDA,MPV,3,,20498.0,594
39,MistyRose,2024-08-12 22:56:30.000000,Audi,S4,4,,87954.0,399
40,Wheat,2024-06-06 18:34:25.000000,Toyota,Tundra,3,,87953.0,1900
41,SeaGreen,2024-04-16 03:18:53.000000,Chevrolet,S10,4,,87047.0,1307
42,DarkSalmon,2024-05-02 15:20:02.000000,Mercedes-Benz,E-Class,4,,18066.0,2172
43,Red,2024-08-09 18:21:32.000000,Jaguar,X-Type,1,,25912.0,1922
44,LemonChiffon,2024-05-24 17:20:54.000000,Ram,2500,3,,38391.0,1717
45,LightCoral,2024-08-28 11:11:38.000000,Nissan,Versa,1,,52020.0,434
46,Cornsilk,2024-07-06 06:07:29.000000,Dodge,Ram,4,,73524.0,1010
47,SpringGreen,2024-09-01 18:59:39.000000,Chevrolet,TrailBlazer,3,,75828.0,1810
48,Snow,2024-05-14 18:30:33.000000,Buick,Encore,4,,10677.0,897
49,HotPink,2024-08-11 07:23:46.000000,FIAT,500e,4,,11375.0,2630
50,LightBlue,2024-08-18 02:32:54.000000,Nissan,Rogue,4,,9337.0,594
51,Gray,2024-05-16 12:49:13.000000,Toyota,Corolla,2,,911.0,526
52,Red,2024-06-20 17:59:55.000000,Tesla,Model,4,,96056.0,574
53,SkyBlue,2024-06-02 02:02:49.000000,Ford,Flex,4,,84133.0,829
54,LimeGreen,2024-05-03 19:27:12.000000,Ford,E350,4,,22559.0,2142
55,Crimson,2024-02-15 12:04:12.000000,BMW,X4,4,,19384.0,1954
56,Snow,2024-05-24 17:00:54.000000,Dodge,D250,4,,3051.0,1251
57,Orchid,2024-07-10 17:13:05.000000,Saturn,L-Series,4,,36798.0,2175
58,Snow,2024-08-15 07:38:30.000000,BMW,X4,1,,59583.0,1125
59,LightYellow,2024-01-28 23:55:20.000000,Hyundai,Elantra,2,,56658.0,2501
60,SpringGreen,2024-09-07 05:12:01.000000,Toyota,Tacoma,1,,32410.0,286
61,DarkOrchid,2024-07-19 22:33:23.000000,Dodge,Ram,2,,48640.0,44
62,Red,2024-04-11 04:13:13.000000,Mitsubishi,Diamante,2,,17396.0,1517
63,Snow,2024-01-24 15:21:12.000000,Nissan,TITAN,2,,38362.0,536
64,FireBrick,2024-03-04 08:38:43.000000,Chevrolet,Impala,3,,20172.0,1889
65,Khaki,2024-03-27 13:20:48.000000,Acura,MDX,1,,96774.0,2298
66,MintCream,2024-01-23 20:39:18.000000,Dodge,Ram,3,,82375.0,1757
67,DarkOrange,2024-05-12 16:30:35.000000,Lexus,GX,3,,52602.0,1667
68,LightSteelBlue,2024-08-26 08:19:44.000000,GMC,Sierra,4,,85816.0,2637
69,Purple,2024-08-18 00:55:33.000000,Audi,A6,1,,58216.0,500
70,Navy,2024-08-21 13:00:51.000000,Dodge,Ram,3,,34165.0,1061
71,Beige,2024-02-01 11:03:31.000000,Mercury,Grand,3,,54478.0,1094
72,MintCream,2024-04-24 03:19:48.000000,Lexus,GS,4,,56851.0,252
73,DeepSkyBlue,2024-07-08 05:53:30.000000,GMC,3500,1,,37743.0,875
74,AliceBlue,2024-03-17 08:59:46.000000,Mercedes-Benz,300,2,,44469.0,1872
75,Thistle,2024-08-30 02:50:36.000000,Toyota,Camry,1,,80378.0,1401
76,Orchid,2024-07-21 13:12:34.000000,HUMMER,H3,1,,75688.0,162
77,DeepSkyBlue,2024-03-26 03:04:55.000000,Toyota,Land,4,,87827.0,636
78,Red,2024-03-05 08:21:44.000000,Subaru,Forester,2,,4863.0,1144
79,YellowGreen,2024-07-31 19:20:50.000000,Subaru,Impreza,2,,37606.0,1473
80,BurlyWood,2024-03-18 12:43:50.000000,Honda,Element,3,,37593.0,1557
81,CornflowerBlue,2024-04-01 08:22:35.000000,Chevrolet,1500,4,,61257.0,161
82,Khaki,2024-06-02 01:35:56.000000,Land,Rover,4,,19295.0,294
83,LightPink,2024-04-20 14:39:53.000000,Chevrolet,Equinox,3,,13810.0,434
84,Silver,2024-08-29 21:27:09.000000,GMC,Sierra,2,,19304.0,2181
85,FloralWhite,2024-08-17 10:35:28.000000,Buick,Park,4,,7932.0,953
86,Tomato,2024-08-15 01:05:57.000000,Toyota,Camry,2,,94757.0,1820
87,HoneyDew,2024-05-11 14:30:54.000000,Chevrolet,Impala,2,,38552.0,1145
88,DarkMagenta,2024-08-20 06:26:14.000000,Jaguar,XF,4,,49997.0,2676
89,PaleGreen,2024-08-04 05:29:35.000000,Mercedes-Benz,Mercedes-AMG,3,,71236.0,105
90,FloralWhite,2024-08-10 00:06:46.000000,Buick,Rainier,3,,43060.0,2492
91,Red,2024-02-13 17:04:00.000000,Chevrolet,Volt,2,,49618.0,1660
92,LightSkyBlue,2024-06-17 04:06:31.000000,Ford,Fusion,3,,34175.0,1809
93,Orange,2024-02-02 05:34:32.000000,MINI,Clubman,4,,60277.0,2353
94,MediumTurquoise,2024-02-19 11:02:56.000000,INFINITI,J,3,,74908.0,1304
95,Cyan,2024-04-09 18:48:24.000000,Lexus,CT,4,,74462.0,1506
96,Lavender,2024-06-04 19:54:33.000000,Acura,TL,4,,29081.0,84
97,PeachPuff,2024-02-08 05:55:49.000000,GMC,Yukon,4,,41108.0,443
98,OliveDrab,2024-05-06 15:10:05.000000,Chrysler,Sebring,2,,31213.0,500
99,SlateBlue,2024-06-02 22:33:39.000000,Nissan,Sentra,3,,86501.0,1396
100,MistyRose,2024-07-27 10:46:27.000000,Ford,Flex,3,,39562.0,1959
101,LemonChiffon,2024-02-16 14:17:10.000000,MAZDA,MAZDA2,2,,92577.0,1829
102,DarkGoldenRod,2024-08-18 23:15:23.000000,Chevrolet,Corvette,4,,28664.0,1687
103,DeepPink,2024-05-28 02:54:45.000000,Dodge,Sprinter,4,,33040.0,856
104,Sienna,2024-04-21 03:26:57.000000,Chevrolet,Equinox,4,,16847.0,378
105,SandyBrown,2024-02-05 15:22:37.000000,Pontiac,Torrent,4,,27305.0,2212
106,Cornsilk,2024-06-22 11:28:14.000000,Saab,5-Sep,4,,26569.0,2169
107,LemonChiffon,2024-08-12 14:48:07.000000,Volvo,V50,4,,16535.0,1611
108,MediumSlateBlue,2024-03-19 03:14:58.000000,Audi,A8,1,,68139.0,2303
109,SkyBlue,2024-04-17 19:06:40.000000,Chevrolet,Aveo,4,,38156.0,1119
110,FireBrick,2024-05-06 18:23:10.000000,Volkswagen,Eos,2,,62780.0,2464
111,LightYellow,2024-04-10 02:39:40.000000,Audi,A8,3,,86243.0,1743
112,DarkKhaki,2024-03-19 08:45:19.000000,Subaru,SVX,1,,64464.0,478
113,PaleGoldenRod,2024-09-03 05:41:42.000000,Porsche,Boxster,2,,90203.0,2583
114,Orchid,2024-04-22 14:51:12.000000,Chevrolet,Blazer,3,,85266.0,2660
115,Silver,2024-02-07 18:39:19.000000,Nissan,Titan,1,,20442.0,1987
116,Gainsboro,2024-06-06 03:00:46.000000,Dodge,Stratus,2,,26444.0,1286
117,Navy,2024-04-21 13:23:31.000000,Chevrolet,Silverado,4,,70843.0,1783
118,Beige,2024-04-04 12:16:48.000000,MAZDA,Protege,4,,51324.0,2685
119,Yellow,2024-07-23 07:59:37.000000,Subaru,WRX,1,,51595.0,1528
120,DarkTurquoise,2024-04-29 17:56:56.000000,Chevrolet,Sonic,2,,10779.0,2737
121,DarkCyan,2024-02-18 14:03:24.000000,BMW,7,4,,26063.0,1839
122,DarkRed,2024-02-23 02:58:15.000000,Acura,MDX,3,,74761.0,2790
123,LightSteelBlue,2024-08-19 06:19:29.000000,Porsche,Boxster,2,,89769.0,206
124,MediumAquaMarine,2024-03-03 18:54:05.000000,Buick,LaCrosse,1,,68185.0,1777
125,PeachPuff,2024-06-16 12:19:02.000000,Chevrolet,Suburban,4,,51378.0,1906
126,Blue,2024-05-13 13:42:50.000000,Chevrolet,Tahoe,4,,76954.0,2452
127,Aqua,2024-04-11 07:32:34.000000,Ford,Explorer,3,,48573.0,396
128,Cornsilk,2024-05-25 11:12:33.000000,Audi,S4,2,,35160.0,723
129,Thistle,2024-09-01 02:01:28.000000,Cadillac,CTS,1,,18474.0,1724
130,DeepSkyBlue,2024-06-01 08:28:07.000000,MAZDA,CX-5,1,,93211.0,1472
131,LavenderBlush,2024-05-28 04:44:02.000000,Kia,Soul,1,,51587.0,666
132,Silver,2024-02-28 22:48:45.000000,GMC,Savana,3,,31658.0,2024
133,LightSteelBlue,2024-06-04 15:23:59.000000,Plymouth,Neon,4,,58685.0,2504
134,BlanchedAlmond,2024-06-20 19:49:29.000000,Chevrolet,Malibu,1,,98099.0,2330
135,AliceBlue,2024-06-26 21:20:01.000000,Dodge,Ram,1,,16753.0,922
136,BlueViolet,2024-04-17 01:59:08.000000,Mercury,Grand,4,,70215.0,14
137,DarkCyan,2024-09-06 02:16:47.000000,BMW,3,4,,46078.0,809
138,Tan,2024-05-25 03:42:14.000000,Suzuki,XL-7,2,,34131.0,1350
139,Gainsboro,2024-07-13 00:53:35.000000,Toyota,Tacoma,4,,86195.0,1116
140,Cornsilk,2024-03-18 13:58:07.000000,Audi,A6,4,,79185.0,1843
141,Orchid,2024-05-01 11:20:28.000000,Mitsubishi,Galant,2,,14714.0,1701
142,DarkRed,2024-04-30 18:02:19.000000,Ford,Windstar,2,,15197.0,985
143,Linen,2024-05-07 17:19:38.000000,GMC,1500,4,,55138.0,1271
144,PowderBlue,2024-03-20 03:14:09.000000,Toyota,Highlander,3,,21759.0,2583
145,Blue,2024-03-06 01:38:40.000000,Nissan,Frontier,3,,86922.0,1547
146,MediumSeaGreen,2024-07-20 11:51:29.000000,Cadillac,CTS,1,,74799.0,694
147,DarkSlateBlue,2024-07-01 05:29:24.000000,Nissan,Sentra,4,,59323.0,2120
148,LemonChiffon,2024-01-25 12:58:24.000000,Chevrolet,Camaro,3,,91392.0,2303
149,SlateGray,2024-08-19 21:45:13.000000,Nissan,Frontier,4,,94661.0,1498
150,Gray,2024-05-21 13:40:24.000000,Ford,E150,3,,99619.0,2388
151,DarkGreen,2024-02-16 05:09:33.000000,Ford,Transit,2,,36320.0,832
152,CornflowerBlue,2024-02-07 13:06:22.000000,BMW,M3,2,,10456.0,505
153,MediumOrchid,2024-07-29 08:35:37.000000,Nissan,NV3500,4,,24039.0,1575
154,NavajoWhite,2024-06-20 22:47:04.000000,Aston,Martin,1,,58615.0,1976
155,LightSkyBlue,2024-04-19 09:28:42.000000,Nissan,Regular,1,,54216.0,1891
156,Navy,2024-07-23 08:58:04.000000,Ford,Mustang,1,,58928.0,2348
157,OldLace,2024-07-26 14:32:00.000000,Ram,2500,4,,72264.0,106
158,Sienna,2024-05-10 23:17:16.000000,Nissan,Maxima,2,,98395.0,175
159,Silver,2024-07-19 11:45:56.000000,Dodge,Grand,2,,16901.0,2438
160,DarkMagenta,2024-07-24 04:29:07.000000,Dodge,Ram,3,,46881.0,212
161,SkyBlue,2024-05-23 15:49:39.000000,Toyota,Celica,3,,56012.0,1088
162,Lime,2024-03-20 23:16:51.000000,Ford,Thunderbird,4,,71071.0,2191
163,OldLace,2024-03-03 22:53:08.000000,Dodge,Grand,2,,82825.0,235
164,DarkRed,2024-05-08 10:45:45.000000,Chevrolet,Sonic,3,,18006.0,1348
165,MediumTurquoise,2024-02-28 23:51:16.000000,GMC,Sierra,2,,79023.0,638
166,LightSeaGreen,2024-04-09 23:19:19.000000,Audi,Cabriolet,4,,75149.0,636
167,MediumSlateBlue,2024-04-23 00:50:16.000000,Ram,2500,4,,17730.0,2463
168,White,2024-02-01 08:45:27.000000,BMW,M3,3,,86242.0,702
169,LemonChiffon,2024-04-06 12:15:37.000000,Ford,F350,3,,78909.0,1382
170,OldLace,2024-07-26 12:34:14.000000,Jaguar,XK,4,,35757.0,506
171,Moccasin,2024-02-28 05:54:31.000000,Ford,Freestyle,1,,8356.0,1420
172,GhostWhite,2024-04-28 03:08:15.000000,Nissan,JUKE,2,,26300.0,2720
173,LightCyan,2024-06-24 20:46:24.000000,Hyundai,Elantra,3,,32117.0,2447
174,Indigo,2024-01-29 01:21:40.000000,Ford,Expedition,2,,33266.0,1978
175,Sienna,2024-04-18 22:01:45.000000,Acura,RL,2,,97030.0,620
176,BurlyWood,2024-09-05 22:30:38.000000,BMW,M6,4,,70780.0,1115
177,MediumTurquoise,2024-04-04 04:17:40.000000,Nissan,cube,2,,84201.0,2216
178,DarkGray,2024-03-11 19:03:59.000000,GMC,Sierra,2,,16684.0,473
179,Purple,2024-02-01 02:40:38.000000,Jeep,Wrangler,3,,56485.0,1949
180,MediumSeaGreen,2024-06-16 17:45:59.000000,Toyota,Prius,4,,19889.0,79
181,OliveDrab,2024-02-13 17:44:04.000000,Subaru,Forester,3,,56762.0,837
182,OldLace,2024-07-31 07:29:58.000000,Chevrolet,Silverado,4,,6781.0,2147
183,Pink,2024-07-24 14:32:50.000000,Audi,S4,1,,40639.0,489
184,SeaShell,2024-05-27 01:09:20.000000,Pontiac,Aztek,1,,64584.0,1894
185,SandyBrown,2024-08-18 03:45:39.000000,Ford,Econoline,2,,70763.0,1014
186,DarkSlateBlue,2024-06-20 01:04:15.000000,Oldsmobile,Aurora,3,,10411.0,1858
187,LightSteelBlue,2024-03-21 09:54:54.000000,Nissan,Altima,2,,47297.0,1847
188,DarkOrange,2024-03-30 11:22:08.000000,Dodge,Ram,1,,88107.0,2539
189,BlanchedAlmond,2024-04-29 12:11:36.000000,Chevrolet,Astro,1,,53616.0,38
190,RoyalBlue,2024-03-03 01:28:08.000000,Nissan,Titan,4,,98608.0,1349
191,Cyan,2024-09-08 08:06:48.000000,Ford,Focus,3,,33717.0,1731
192,RoyalBlue,2024-07-29 17:18:35.000000,Nissan,LEAF,3,,62201.0,1619
193,SpringGreen,2024-05-10 12:35:23.000000,Volkswagen,Cabrio,2,,60612.0,2567
194,ForestGreen,2024-06-29 16:11:55.000000,Ford,Escape,3,,49674.0,752
195,DarkOrange,2024-06-05 16:02:44.000000,Ford,F250,3,,2101.0,2219
196,Ivory,2024-07-30 01:25:24.000000,Jaguar,X-Type,2,,30137.0,2227
197,LimeGreen,2024-08-01 22:29:52.000000,Volkswagen,Golf,2,,85892.0,581
198,MintCream,2024-04-20 01:46:53.000000,Chevrolet,Suburban,1,,48255.0,1986
199,FireBrick,2024-08-16 03:52:03.000000,Lotus,Elise,3,,18552.0,435
200,DarkBlue,2024-08-10 15:40:54.000000,Volkswagen,Eurovan,4,,25112.0,993
201,Tan,2024-04-29 05:10:52.000000,Mercedes-Benz,C-Class,4,,69611.0,1538
202,LemonChiffon,2024-02-10 03:31:01.000000,Nissan,Frontier,3,,43862.0,2214
203,LightPink,2024-04-07 17:24:26.000000,Ferrari,488,3,,32404.0,892
204,Beige,2024-04-26 09:43:04.000000,Dodge,D150,4,,1877.0,1334
205,MediumPurple,2024-04-22 22:28:19.000000,Dodge,Challenger,4,,65761.0,1875
206,Turquoise,2024-05-12 04:37:45.000000,Mercedes-Benz,Mercedes-AMG,4,,63429.0,1982
207,Silver,2024-01-29 03:53:58.000000,Suzuki,Swift,3,,97265.0,815
208,Beige,2024-06-09 06:26:33.000000,MAZDA,MPV,3,,35799.0,926
209,Lime,2024-04-15 16:18:33.000000,GMC,Savana,1,,64790.0,14
210,Tomato,2024-08-06 14:03:09.000000,Chevrolet,Blazer,2,,40468.0,2126
211,MediumSpringGreen,2024-08-07 07:22:45.000000,Mercedes-Benz,E-Class,2,,17469.0,572
212,MidnightBlue,2024-01-28 07:48:31.000000,Toyota,Sequoia,2,,54545.0,587
213,ForestGreen,2024-06-14 20:36:40.000000,Mercury,Grand,2,,31414.0,2562
214,HotPink,2024-08-19 11:39:59.000000,Honda,Fit,2,,29677.0,1198
215,AliceBlue,2024-05-26 17:17:36.000000,Kia,Spectra,2,,47307.0,1405
216,DarkOrange,2024-04-24 01:58:49.000000,FIAT,500e,4,,55323.0,1871
217,DarkRed,2024-08-19 04:08:14.000000,Suzuki,Esteem,2,,90079.0,638
218,Fuchsia,2024-03-11 23:10:55.000000,Dodge,Caliber,3,,76671.0,817
219,PeachPuff,2024-06-24 00:42:41.000000,Acura,TSX,2,,88419.0,207
220,MediumOrchid,2024-02-02 10:10:44.000000,GMC,Acadia,2,,68127.0,1263
221,SeaGreen,2024-03-28 00:36:43.000000,Ford,Econoline,2,,34508.0,2780
222,Magenta,2024-04-12 16:14:17.000000,Nissan,Versa,2,,69403.0,2637
223,Turquoise,2024-04-02 04:24:30.000000,Dodge,Ram,3,,91365.0,467
224,Salmon,2024-08-22 23:17:02.000000,Toyota,Corolla,1,,32184.0,873
225,MediumSeaGreen,2024-03-29 04:18:54.000000,Volkswagen,Golf,4,,16120.0,192
226,OldLace,2024-07-12 01:51:33.000000,Cadillac,Eldorado,2,,51875.0,2658
227,Beige,2024-05-17 14:38:13.000000,Ford,F350,4,,40949.0,1842
228,MediumSeaGreen,2024-08-28 22:39:38.000000,Ford,Transit,1,,18857.0,808
229,MediumVioletRed,2024-03-15 12:35:28.000000,MAZDA,Protege,1,,48769.0,1224
230,HotPink,2024-03-24 22:56:10.000000,Acura,RL,2,,94474.0,1381
231,DimGray,2024-06-21 09:37:17.000000,Nissan,Frontier,2,,83684.0,1747
232,BlueViolet,2024-05-17 22:51:36.000000,Hyundai,Elantra,1,,86597.0,475
233,DarkOrange,2024-08-07 17:46:24.000000,Porsche,911,2,,59588.0,2758
234,PaleTurquoise,2024-03-28 02:54:49.000000,INFINITI,Q70,2,,70314.0,832
235,Brown,2024-05-15 09:26:04.000000,Isuzu,Amigo,4,,19939.0,1089
236,MediumAquaMarine,2024-03-29 00:08:32.000000,Toyota,MR2,3,,91744.0,1721
237,Yellow,2024-06-18 18:44:44.000000,Mercury,Villager,1,,98417.0,664
238,Magenta,2024-07-23 09:18:47.000000,Mercury,Grand,3,,40296.0,2464
239,Lavender,2024-02-12 14:22:02.000000,Chevrolet,Equinox,2,,83506.0,306
240,Red,2024-03-04 10:26:30.000000,Dodge,Dynasty,2,,6754.0,2157
241,Peru,2024-07-29 16:35:04.000000,Pontiac,Sunfire,3,,97932.0,1287
242,Azure,2024-07-23 22:22:47.000000,Toyota,Corolla,2,,66902.0,1226
243,DeepPink,2024-04-29 15:31:09.000000,Honda,S2000,2,,24359.0,2054
244,LightYellow,2024-05-10 23:12:17.000000,GMC,Safari,3,,52074.0,1020
245,Silver,2024-04-08 07:39:45.000000,FIAT,500,1,,93595.0,354
246,Moccasin,2024-05-24 10:04:21.000000,Ford,F250,4,,25151.0,998
247,Salmon,2024-07-28 02:12:24.000000,Chevrolet,Express,1,,63741.0,853
248,Black,2024-03-12 18:04:04.000000,Ford,Taurus,3,,28162.0,1028
249,MintCream,2024-06-29 23:03:01.000000,Volkswagen,Tiguan,2,,59300.0,1025
250,PaleGreen,2024-03-17 03:47:12.000000,Kia,Forte,1,,21424.0,2372
251,Salmon,2024-06-27 07:12:50.000000,Suzuki,Equator,1,,36156.0,2093
252,Ivory,2024-08-15 22:21:37.000000,Chevrolet,Silverado,2,,79215.0,1988
253,Gainsboro,2024-05-28 20:07:08.000000,Nissan,Maxima,2,,99436.0,1998
254,Lavender,2024-03-07 20:57:04.000000,Jaguar,I-PACE,2,,64028.0,1979
255,SteelBlue,2024-03-10 06:52:20.000000,Ford,Ranger,4,,30136.0,1459
256,DarkOrchid,2024-09-03 02:53:09.000000,Mitsubishi,Lancer,3,,45028.0,2311
257,SkyBlue,2024-07-29 23:12:45.000000,Chevrolet,S10,2,,26358.0,819
258,LavenderBlush,2024-08-10 22:10:08.000000,INFINITI,QX50,2,,15422.0,1784
259,MediumSlateBlue,2024-07-16 21:20:22.000000,BMW,X6,3,,8089.0,1500
260,AliceBlue,2024-08-24 01:01:52.000000,Mitsubishi,Eclipse,1,,30348.0,2290
261,Bisque,2024-02-02 09:02:59.000000,Ford,Escape,3,,59853.0,2057
262,Navy,2024-08-03 23:40:25.000000,Land,Rover,1,,69752.0,1475
263,DarkSlateBlue,2024-01-31 11:10:24.000000,GMC,Acadia,4,,46389.0,2794
264,Magenta,2024-07-10 04:31:21.000000,Volkswagen,Golf,4,,33066.0,1952
265,Tomato,2024-08-26 18:57:34.000000,Chevrolet,Prizm,3,,66810.0,994
266,GhostWhite,2024-05-26 09:19:52.000000,Chevrolet,Equinox,1,,24086.0,368
267,Aqua,2024-03-28 21:12:10.000000,Toyota,Camry,1,,55448.0,260
268,Tan,2024-04-01 15:53:02.000000,GMC,Sierra,3,,40522.0,523
269,DarkTurquoise,2024-05-22 19:46:02.000000,Nissan,370Z,1,,85954.0,1014
270,Moccasin,2024-05-18 06:30:12.000000,Acura,RDX,1,,983.0,2581
271,DarkSlateBlue,2024-04-15 18:56:45.000000,INFINITI,FX,1,,71004.0,2216
272,DimGray,2024-03-29 21:51:23.000000,GMC,Sierra,3,,21967.0,1511
273,CadetBlue,2024-05-06 13:19:46.000000,Lincoln,Corsair,3,,31114.0,960
274,AntiqueWhite,2024-05-27 20:19:28.000000,Volkswagen,GTI,3,,17088.0,387
275,Wheat,2024-08-08 05:05:55.000000,Mercury,Villager,3,,25203.0,2458
276,DarkSlateBlue,2024-07-11 06:11:38.000000,GMC,Canyon,2,,42041.0,1697
277,DarkBlue,2024-07-20 21:46:30.000000,MINI,Hardtop,3,,37893.0,1501
278,IndianRed,2024-03-02 06:58:49.000000,Toyota,GR,1,,42491.0,1948
279,MediumPurple,2024-03-11 19:36:25.000000,Honda,Pilot,1,,92621.0,409
280,Salmon,2024-08-01 17:33:41.000000,MAZDA,MX-5,4,,16314.0,1462
281,Gold,2024-03-30 08:09:38.000000,Toyota,Tundra,2,,39847.0,1339
282,CornflowerBlue,2024-02-23 04:30:36.000000,Subaru,Legacy,4,,13071.0,729
283,Gainsboro,2024-01-25 21:30:59.000000,Volkswagen,Jetta,2,,67963.0,1429
284,Moccasin,2024-05-09 21:05:46.000000,Plymouth,Prowler,3,,48107.0,541
285,DarkOrange,2024-05-28 05:00:32.000000,Land,Rover,1,,92220.0,1579
286,Green,2024-05-10 16:42:01.000000,Chevrolet,Silverado,4,,2637.0,2306
287,LemonChiffon,2024-03-27 08:17:31.000000,Aston,Martin,2,,31348.0,855
288,LightBlue,2024-06-06 14:43:08.000000,Subaru,Crosstrek,1,,81658.0,1554
289,Black,2024-07-02 15:44:43.000000,GMC,Suburban,3,,35443.0,1504
290,DarkCyan,2024-08-23 19:23:18.000000,Toyota,Tundra,2,,7061.0,1195
291,MediumTurquoise,2024-05-29 21:27:58.000000,Audi,A8,4,,48885.0,646
292,IndianRed,2024-08-24 09:36:37.000000,HUMMER,H1,2,,8405.0,1099
293,LightSteelBlue,2024-08-14 01:40:47.000000,Ford,Econoline,1,,35308.0,740
294,GreenYellow,2024-06-05 23:54:07.000000,GMC,Yukon,2,,53199.0,1349
295,Gainsboro,2024-02-24 06:21:13.000000,Chevrolet,Suburban,2,,99466.0,2373
296,ForestGreen,2024-07-31 03:35:37.000000,Toyota,Solara,4,,46735.0,2074
297,Sienna,2024-07-05 13:10:40.000000,BMW,5,4,,15956.0,1314
298,Lime,2024-08-19 23:50:13.000000,Nissan,Xterra,3,,31706.0,1932
299,DarkOliveGreen,2024-02-14 08:51:25.000000,Mercedes-Benz,Mercedes-AMG,2,,69117.0,1446
300,SteelBlue,2024-05-31 09:57:14.000000,Mercury,Monterey,2,,70203.0,1176
301,SandyBrown,2024-05-10 10:04:59.000000,Toyota,Camry,2,,14390.0,2459
302,MediumSpringGreen,2024-09-04 11:09:09.000000,Nissan,Frontier,3,,79462.0,2702
303,MediumAquaMarine,2024-06-28 13:39:32.000000,Toyota,Tacoma,1,,23377.0,2282
304,LightBlue,2024-08-19 17:14:55.000000,Lincoln,Town,1,,65165.0,2144
305,LightPink,2024-07-10 06:29:45.000000,Lincoln,Mark,1,,61711.0,1741
306,BlanchedAlmond,2024-06-10 12:51:08.000000,Mercedes-Benz,GLA,2,,21797.0,764
307,Tan,2024-07-16 16:35:26.000000,GMC,Sierra,1,,81434.0,88
308,DarkMagenta,2024-07-27 12:33:35.000000,Nissan,TITAN,3,,20429.0,1026
309,Indigo,2024-02-24 04:15:41.000000,Cadillac,Eldorado,3,,4826.0,865
