id_festival,date_debut,date_fin,lieu_principal,nb_pass_dispo,nb_pass_indispo,nbPassTotal,nom_manifestation,site_web,tarif_pass,id_commune,id_domaine
24,2024-05-16,2024-06-01,LYON,0,0,199,A VOUS DE JOUER,https://www.lenombrildumonde.com/a-vous-de-jouer/,28,9,10
25,2024-03-18,2024-03-23,PORTES LES VALENCE,0,0,296,AAH ! LES DEFERLANTES !,www.train-theatre.fr,29,23,9
27,2024-07-04,2024-07-16,ST RIQUIER,0,0,79,ABBAYE DE SAINT-RIQUIER,www.ccr-abbaye-saint-riquier.fr,19,25,8
28,2024-11-03,2024-12-01,BRELES,0,0,166,ABERS BLUES,www.hot-club-jazz-iroise.fr/,13,26,7
29,2024-09-10,2024-10-07,MIRAMONT DE GUYENNE,0,0,162,ABRACADA'SONS,http://www.paysdelauzun.com/fr,27,27,5
30,2024-06-10,2024-06-10,LYON,0,0,175,ABSOLUTE GOSPEL,www.absolutegospel.net,8,9,7
31,2024-08-22,2024-08-26,ARQUES LA BATAILLE,0,0,212,Académie Bach,www.academie-bach.fr,11,28,11
32,2024-09-22,2024-09-24,MONTPELLIER,0,0,188,ACCORDEON PLURIEL,www.accordeonpluriel.fr,11,29,6
33,2024-09-08,2024-09-09,MARSEILLE,0,0,197,ACONTRALUZ,http://www.acontraluz.fr/,20,2,3
34,2024-03-22,2024-03-24,Le Poire sur Vie,0,0,148,Acoustic Festival,www.acoustic-festival.fr,21,30,3
35,2024-09-26,2024-10-14,MARSEILLE,0,0,203,Actoral,http://www.actoral.org,24,2,2
36,2024-05-18,2024-05-19,ISTRES,0,0,192,AEROBD,http://aerobd-istres.fr/,23,31,12
37,2024-07-20,2024-07-23,CAJARC,0,0,268,AFRICAJARC,www.africajarc.com,24,32,0
38,2024-11-17,2024-12-23,ST DENIS,0,0,188,AFRICOLOR,www.africolor.com,30,33,0
38,2024-11-17,2024-12-23,ST DENIS,0,0,188,AFRICOLOR,www.africolor.com,30,153,0
39,2024-10-05,2024-11-25,AUXERRE,0,0,222,AFRIK' AU COEUR,https://www.afrikaucoeur.fr/home,25,34,13
40,2024-07-15,2024-07-16,PARIS,0,0,275,Afropunk Festival,www.afropunkfest.com,26,35,3
41,2024-03-22,2024-03-24,Villegly,0,0,113,AGIT AL SOL,www.musicalsol.fr/,21,36,5
42,2024-04-06,2024-04-06,EGLY,0,0,280,AGLA'SCÈNES,www.aglascenes.com,28,37,3
43,2024-06-02,2024-06-04,BORDEAUX,0,0,276,AHOY MUSIQUES DE PLAISANCE,,23,38,2
44,2024-04-11,2024-04-14,PARIS,0,0,125,AI QUE BOM FESTIVAL,www.aiquebom.com,22,35,0
45,2024-05-18,2024-05-19,AIX EN PROVENCE,0,0,273,AIX EN PROVOCK,provock.fr,15,39,3
46,2024-07-26,2024-07-30,ALBERTVILLE,0,0,132,Albertville Jazz Festival,www.albertvillejazzfestival.com,17,40,7
47,2024-06-07,2024-06-09,ARRADON,0,0,201,ALGUES AU RYTHME,www.alguesaurythme.com,24,41,3
48,2024-03-21,2024-03-23,ANGERS,0,0,181,ALORS ON SEME,http://jardinsdurire.com,8,42,10
49,2024-08-24,2024-08-26,Sept Laux Prapoutel,0,0,150,ALPIN'DUB,http://alpindub.fr/,8,43,5
51,2024-05-24,2024-05-26,ALBI,0,0,206,AMANAD'ARTS,https://www.facebook.com/204372450492559/photos/gm.2406403782979224/272600500336420/?type=3&theater,23,45,14
52,2024-06-15,2024-06-16,CHATEAUNEUF LES MARTIGUES,0,0,217,AMERICAN FAIR,https://www.festival-american-fair.com,22,46,3
53,2024-07-02,2024-08-16,PARIS,0,0,296,AMERICAN JAZZ FESTIV'HALLES,www.sunset-sunside.com,21,35,7
54,2024-09-15,2024-09-17,TARBES,0,0,130,AMERICAN SALOON A TARBES,http://www.americansaloon.fr/,22,47,2
55,2024-07-14,2024-07-16,TOURS,0,0,262,AMERICAN TOURS FESTIVAL,www.tours-evenements.com,29,48,3
56,2024-01-17,2024-01-26,AMIENS,0,0,173,Amiens Europe,http://www.maisondelaculture-amiens.com/,15,49,2
57,2024-03-11,2024-03-19,AMIENS,0,0,173,Amiens Tout-monde,http://www.maisondelaculture-amiens.com/,29,49,1
58,2024-03-22,2024-03-24,ROCHEGUDE,0,0,197,AMIS DU JAZZ TRADITIONNEL,www.ajtderochegude.com,24,50,7
59,2024-07-01,2024-09-03,ANNECY,0,0,183,Annecy Paysages,www.annecy-paysages.com,9,51,1
59,2024-07-01,2024-09-03,ANNECY,0,0,183,Annecy Paysages,www.annecy-paysages.com,9,712,1
60,2024-11-18,2024-11-18,MONTPELLIER,0,0,122,ANYMAL,https://www.facebook.com/anymalworld,16,29,2
61,2024-07-29,2024-08-12,DEAUVILLE,0,0,201,Août musical de Deauville,https://musiqueadeauville.com/,25,52,15
62,2024-08-18,2024-08-20,Capbreton,0,0,132,Août of jazz,,8,53,7
63,2024-08-11,2024-08-13,BLESLE,0,0,77,APÉROS MUSIQUE DE BLESLE,www.aperos-musique-blesle.com,14,54,5
64,2024-07-17,2024-08-21,ST Pern,0,0,87,APERO'ZIQUES,www.nefdesfous.wordpress.com,13,55,5
65,2024-10-31,2024-12-01,VAISON LA ROMAINE,0,0,268,Après les vendanges,http://www.apreslesvendanges.com,14,56,7
66,2024-09-13,2024-09-24,MONTPELLIER,0,0,96,Arabesques,www.festivalarabesques.fr,35,29,1
67,2024-07-26,2024-08-04,ARCACHON,0,0,115,ARCACHON EN SCÈNE,http://www.arcachon.com/arcachon_en_scene.html,27,57,3
68,2024-06-28,2024-07-01,BLAINVILLE CREVON,0,0,259,ARCHÉO JAZZ FESTIVAL,www.archeojazz.com,33,58,7
69,2024-06-17,2024-06-18,Petit Couronne,0,0,243,Archifête,https://www.ville-petit-couronne.fr/Services-en-ligne/Agenda/Archifete,23,59,4
71,2024-07-21,2024-07-22,Argelliers,0,0,196,Argelliers Jazz Estival,www.argelliersjazzestival.wordpress.com,13,61,7
72,2024-06-06,2024-06-16,ROUEN,0,0,197,ARMADA DE ROUEN,https://www.armada.org/,31,62,1
73,2024-10-06,2024-10-07,ST BRIEUC,0,0,188,ARMOR DE RIRE,http://armor-de-rire.net-helium.fr/,12,63,10
74,2024-03-08,2024-03-10,ARRAS,0,0,83,ARRAS COMEDY FESTIVAL,www.arras.fr/fr/actualites/arras-comedy-festival,30,64,10
75,2024-06-04,2024-10-08,GOVILLER,0,0,129,Art contemporain en milieu rural,https://www.galerie-tem.fr/,18,65,16
76,2024-01-22,2024-02-07,DIJON,0,0,211,Art Danse,https://art-danse.org/,8,15,17
77,2024-10-01,2024-10-01,STE VERTU,0,0,197,ART N JAZZ FESTIVAL,http://www.art-n-jazz.com,34,66,7
78,2024-06-07,2024-06-09,ST BRIEUC,0,0,244,ART ROCK,www.artrock.org,23,63,2
79,2024-07-21,2024-07-22,BRIOUZE,0,0,107,ART SONIC,www.festival-artsonic.com,31,67,5
80,2024-02-29,2024-03-03,LILLE,0,0,245,Art Up !,https://lille.art-up.com/,34,68,16
81,2024-10-07,2024-10-14,BASTIA,0,0,75,Arte Mare - Festival du film méditerranéen de Bastia,www.arte-mare.corsica,11,69,18
82,2024-10-28,2024-11-05,ALBI,0,0,87,ARTETANGO,www.artetango-festival.com,35,45,19
83,2024-09-22,2024-09-23,GRANDVILLIERS,0,0,253,ARTHUR'S DAY FESTIVAL,www.arthurs-day-festival.com,35,70,3
84,2024-03-05,2024-04-06,Bethune,0,0,247,ARTIMINI,www.ville-bethune.fr,15,71,20
85,2024-07-09,2024-07-09,VIHIERS,0,0,232,ARTIST'O CHAMPS,www.artistochamps.jimdo.com,35,72,3
86,2024-10-04,2024-10-08,VERGEZE,0,0,160,Art'Pantin Forum Régional de la Marionnette,https://arema-lr.fr/,24,73,21
87,2024-07-13,2024-08-17,AUDIERNE,0,0,151,ARTS À LA POINTE,www.artsalapointe.com,35,74,5
88,2024-06-02,2024-06-11,LYON,0,0,205,ARTS EN JAZZ A COURS ET JARDINS,,35,9,7
89,2024-05-12,2024-05-13,Brassac les Mines,0,0,288,ARVERNE REGGAE FESTIVAL,http://arvernereggaefest.wixsite.com/arverne-reggae-fest,15,75,3
90,2024-05-29,2024-05-30,Plemy,0,0,227,ASCENSION DU SON,www.ascensionduson.com,34,76,5
91,2024-03-19,2024-03-24,CAEN,0,0,182,Aspects des musiques d'aujourd'hui,http://www.orchestredecaen.fr/,21,77,22
92,2024-11-08,2024-11-10,ARLES,0,0,51,Assises de la traduction littéraire,www.atlas-citl.org,25,78,23
93,2024-05-20,2024-05-26,LYON,0,0,209,Assises internationales du roman,http://www.villagillet.net/festivals/assises-internationales-du-roman,35,9,24
94,2024-07-07,2024-07-09,BREST,0,0,294,ASTROPOLIS,www.astropolis.org,21,79,3
95,2024-02-06,2024-02-11,BREST,0,0,58,ASTROPOLIS L'HIVER,,21,79,3
96,2024-05-25,2024-06-01,MESLAY DU MAINE,0,0,91,ATELIERS JAZZ DE MESLAY-GREZ,www.festivaljazz-meslay.com,22,80,7
97,2024-11-16,2024-11-22,ST Saulve,0,0,291,ATHENA BLUES FESTIVAL,http://bluesinathena.wixsite.com/bluesinathena/blues-in-festival,25,21,7
98,2024-09-29,2024-10-15,BREST,0,0,84,ATLANTIQUE JAZZ FESTIVAL,www.atlantiquejazzfestival.com,22,79,7
99,2024-06-30,2024-07-02,Castelnaudary,0,0,115,ATOM FESTIVAL,,27,81,2
100,2024-07-12,2024-07-15,THOUARS,0,0,287,ATOUT ARTS,www.theatre-thouars.com,19,82,0
101,2024-10-06,2024-10-15,MEYTHET,0,0,126,ATTENTION LES FEUILLES !,http://theatredescollines.annecy.fr/festivals/attention-les-feuilles/,20,83,9
102,2024-08-27,2024-09-01,LE GRAND BORNAND,0,0,93,AU BONHEUR DES MÔMES,www.aubonheurdesmomes.com,34,84,2
104,2024-09-10,2024-09-10,ROMILLE,0,0,69,AU COIN DE MA RUE,https://fr-fr.facebook.com/aucoindemarue/,12,86,4
105,2024-11-07,2024-11-29,Oloron STE Marie,0,0,108,Au Fil de la marionnette,http://spectaclevivant.hautbearn.fr/,18,87,21
106,2024-02-05,2024-02-17,PARIS,0,0,280,AU FIL DES VOIX PARIS,www.aufildesvoix.com,34,35,0
107,2024-07-27,2024-07-29,CIVRAY,0,0,208,AU FIL DU SON,www.lachmiseverte.com,17,88,3
108,2024-07-07,2024-07-08,ST DENIS DE GASTINES,0,0,125,AU FOIN DE LA RUE,www.aufoindelarue.com,28,89,3
109,2024-08-05,2024-08-16,La Petite Pierre,0,0,256,AU GRES DU JAZZ,http://www.ot-paysdelapetitepierre.com/,8,90,7
110,2024-03-03,2024-04-30,CHANGE,0,0,105,AU PAYS DU MOME,https://www.paysdumome.com/,22,91,2
111,2024-08-04,2024-08-05,MALESTROIT,0,0,289,AU PONT DU ROCK,www.aupontdurock.com,8,92,3
112,2024-08-18,2024-08-19,EVRES,0,0,153,AU PRÉ DE MON ANE,,24,93,5
113,2024-09-08,2024-09-09,TESSY SUR VIRE,0,0,152,AU SON D'EUH LO !,www.ausondeuhlo.com,15,94,3
114,2024-09-20,2024-09-24,CERNY,0,0,238,AU SUD DU NORD,www.ausuddunord.fr,10,95,7
115,2024-05-22,2024-05-25,AUBERVILLIERS,0,0,274,AUBERCAIL,www.aubercail.fr,13,96,9
116,2024-07-06,2024-07-09,AUBERVILLIERS,0,0,243,AUBER'JAZZ'DAY,http://www.auberjazzday.com/,12,96,7
117,2024-06-05,2024-06-09,TOURS,0,0,81,AUCARD DE TOURS,www.radiobeton.com,25,48,3
118,2024-11-17,2024-11-26,PERPIGNAN,0,0,209,AUJOURD'HUI MUSIQUES,http://www.aujourdhuimusiques.com,28,7,22
119,2024-12-04,2024-12-10,PARIS,0,0,265,AURORES MONTREAL,https://www.oocto.com,20,35,5
120,2024-01-26,2024-02-04,CASTRES,0,0,245,AUTAN DE BLUES,http://www.bolegason.org/,18,16,7
121,2024-05-17,2024-05-19,St Felix Lauragais,0,0,224,AUTAN EN FANFARE,www.autanenfanfare.com,11,97,0
122,2024-07-19,2024-07-19,VIENNE,0,0,125,AUTHENTIKS,www.festival-authentiks.com,23,98,3
123,2024-10-05,2024-11-26,CLERMONT FERRAND,0,0,147,AUTOMNALES,www.puydedome.fr,33,99,2
124,2024-10-01,2024-12-17,NIMES,0,0,168,AUTOMNE MUSICAL DE NIMES,www.automne-musical-nimes.org,11,100,8
125,2024-09-15,2024-10-07,Taverny,0,0,128,AUTOMNE MUSICAL DE TAVERNY,www.automnemusicaltaverny.com,29,101,8
126,2024-10-13,2024-10-15,LE VESINET,0,0,88,AUTOMNE MUSICAL DU VESINET,www.automnemusicalduvesinet.fr,8,102,8
127,2024-07-16,2024-07-26,NIMES,0,0,247,AUTRES RIVAGES,www.autres-rivages.com,24,100,0
128,2024-07-11,2024-08-18,NANTES,0,0,164,AUX HEURES D'ÉTÉ,www.auxheuresete.com,8,103,5
129,2024-01-21,2024-01-27,GRENOBLE,0,0,281,AUX RIRES ETC,http://auxrires.fr/,30,104,10
130,2024-10-10,2024-10-13,ST HERBLAIN,0,0,168,Avant Curieux,http://www.theatreonyx.fr/programme/avant-curieux-1,31,105,25
131,2024-03-12,2024-03-17,MARSEILLE,0,0,53,AVEC LE TEMPS,www.festival-avecletemps.com,27,2,9
132,2024-08-02,2024-08-06,AVIGNON,0,0,119,AVIGNON JAZZ FESTIVAL,www.tremplinjazzavignon.fr,8,106,7
133,2024-05-11,2024-05-12,GAVRES,0,0,94,Avis de temps fort,https://avisdetempsfort.wordpress.com/,22,107,4
134,2024-06-30,2024-07-02,AVOINE,0,0,267,Avoine Zone Groove,www.avoinezonegroove.fr,31,108,3
135,2024-04-19,2024-04-21,VENDEMIAN,0,0,254,Avril des Clowns,https://www.avrildesclowns.com/,22,109,26
136,2024-09-09,2024-09-09,IGUERANDE,0,0,269,AWARANDA,http://awaranda.fr/,27,110,0
138,2024-03-14,2024-03-30,RENNES,0,0,124,AY-ROOP [Temps Fort arts du cirque],www.ay-roop.com,12,112,26
139,2024-10-06,2024-10-08,LA PESSE,0,0,146,AZIMUT FESTIVAL,www.azimutfestival.com,32,113,5
140,2024-03-12,2024-03-23,MARSEILLE,0,0,90,BABEL MINOTS,http://www.villesdesmusiquesdumonde.com,33,2,0
141,2024-10-28,2024-10-28,PARIS,0,0,50,BACO REGGAE FESTIVAL,https://www.bacorecords.fr/baco-reggae-festival/,32,35,3
142,2024-09-01,2024-09-03,Rivieres,0,0,51,BAIGNADE INTERDITE,http://baignadeinterdite-24h.blogspot.fr/,18,114,5
143,2024-04-26,2024-04-27,BAIN DE BRETAGNE,0,0,289,BAIN DE BLUES,www.baindeblues.com,17,115,7
144,2024-06-14,2024-06-18,ENGHIEN LES BAINS,0,0,176,BAINS NUMÉRIQUES,www.bainsnumeriques.fr,33,116,3
145,2024-09-29,2024-09-30,ST MALO,0,0,176,Baisers volés,,34,117,3
146,2024-08-24,2024-08-27,ST JEAN DE LUZ,0,0,100,BALEAPOP,www.baleapop.com,9,118,1
147,2024-09-06,2024-09-10,RENNES,0,0,279,BALLADE AVEC BRASSENS,http://balladeavecbrassens.fr/,11,112,9
148,2024-11-11,2024-12-02,Viarmes,0,0,192,BALLADES EN NOVEMBRE,http://viarmes.fr/,35,119,9
149,2024-09-23,2024-10-08,ST BRIEUC,0,0,169,BANC PUBLIC,https://www.bancpublic.org,16,63,2
150,2024-11-13,2024-12-03,BOURGES,0,0,53,BANDITS-MAGES (FESTIVAL),www.bandits-mages.com,22,120,1
151,2024-03-22,2024-04-19,ST DENIS,0,0,50,BANLIEUES BLEUES,www.banlieuesbleues.org,10,33,7
151,2024-03-22,2024-04-19,ST DENIS,0,0,50,BANLIEUES BLEUES,www.banlieuesbleues.org,10,153,7
152,2024-11-01,2024-11-03,Lagrasse,0,0,192,Banquet dautomne à Lagrasse,www.lamaisondubanquet.fr,28,121,27
153,2024-05-31,2024-06-02,Lagrasse,0,0,55,Banquet de printemps de Lagrasse,www.lamaisondubanquet.fr,19,121,27
154,2024-08-17,2024-08-17,BARJAC,0,0,80,BARJAC EN JAZZ,www.tourisme-barjac.com,32,122,7
155,2024-07-29,2024-08-03,BARJAC,0,0,105,BARJAC M'EN CHANTE,http://barjacmenchante.org,27,122,9
156,2024-08-24,2024-08-26,NARBONNE,0,0,151,BARQUES EN SCÈNE,http://www.narbonne.fr/barques-scene-2018-0,15,123,5
157,2024-07-05,2024-07-09,Enghien les Bains,0,0,97,BARRIERE ENGHIEN JAZZ FESTIVAL,www.enghien-jazz-festival.com,28,116,7
158,2024-12-07,2024-12-10,RENNES,0,0,285,BARS EN TRANS,www.barsentrans.com,22,112,5
159,2024-08-03,2024-08-06,MIRAMONT DE GUYENNE,0,0,150,Bastid'Art,http://bastidart.org/,29,27,4
160,2024-06-23,2024-06-25,Les Mesnuls,0,0,295,BATEAU MUSIC FESTIVAL,www.bateaumusic.com,23,124,5
161,2024-09-07,2024-09-10,Chanaz,0,0,239,BATOJAZZ (BatÔJazz),www.batojazz.com,19,125,7
162,2024-05-26,2024-05-28,BAULE,0,0,148,BAULE D'AIRS,https://www.commune-baule.fr/culture-et-associations/associations/baule-d-airs,23,126,4
163,2024-11-03,2024-11-04,GRANDE SYNTHE,0,0,189,BAY CAR BLUES,www.baycarbluesfestival.fr,15,127,7
164,2024-02-29,2024-03-02,CAEN,0,0,57,BAZARNAOM D'HIVER,http://www.bazarnaom.com,20,77,4
165,2024-12-08,2024-12-10,SETE,0,0,98,BAZR,www.bazr-festival.com,31,128,3
166,2024-11-24,2024-11-26,BOULOGNE,0,0,195,BBMIX,http://bbmix.org,11,129,3
166,2024-11-24,2024-11-26,BOULOGNE,0,0,195,BBMIX,http://bbmix.org,11,1166,3
167,2024-04-04,2024-04-07,BASTIA,0,0,281,BD à Bastia - Rencontres de la bande dessinée & de lillustration,http://una-volta.com/bd-a-bastia-2019/,13,69,12
168,2024-11-16,2024-11-18,BELFORT,0,0,53,BE BOP OR BE DEAD,https://bonus-track.fr/,21,130,7
169,2024-08-18,2024-08-19,BOSSET,0,0,50,BEAU C'EST FESTIVAL,https://www.asso-passerelles.fr/,18,131,3
170,2024-04-05,2024-04-14,PARIS,0,0,210,BEAUGRENELLE MUSIC FESTIVAL,www.beaugrenelle-paris.com/,9,35,5
172,2024-11-29,2024-12-03,BEAUNE,0,0,133,BEAUNE BLUES BOOGIE FESTIVAL,www.jpboogie.com,35,133,7
173,2024-07-07,2024-07-10,Herouville ST Clair,0,0,177,Beauregard,www.festivalbeauregard.com,11,134,3
174,2024-04-26,2024-04-28,CALAIS,0,0,131,BEAUTIFUL SWAMP BLUES FESTIVAL,www.spectacle-gtgp.calais.fr,22,135,7
175,2024-11-02,2024-11-11,LE MANS,0,0,112,BEBOP FESTIVAL,www.bebop-festival.com,35,136,5
176,2024-08-09,2024-08-11,BEDARIEUX,0,0,60,BÉDARIEUX VOIX D'ORGUES,www.bedarieux-voixdorgues.com,22,137,5
177,2024-10-21,2024-10-21,Magny les Hameaux,0,0,88,BEERMAGEDDON FEST,www.battlesbeer.org,10,19,3
178,2024-09-13,2024-09-17,CHAMBERY,0,0,86,BEL AIR CLAVIERS FESTIVAL,www.rencontresbelair.com,18,138,8
179,2024-08-09,2024-08-10,LE PALAIS,0,0,224,BELLE ILE ON AIR,http://belleileonair.org,21,139,3
180,2024-10-11,2024-10-21,LYON,0,0,232,Belles latinas,http://www.espaces-latinos.org,34,9,28
181,2024-05-10,2024-05-13,Nogent,0,0,59,BERNARD DIMEY,http://festival-bernard-dimey.fr/,20,140,9
183,2024-04-12,2024-04-13,CAMBRAI,0,0,185,BETIZFEST,www.betizfest.info,13,142,3
184,2024-06-14,2024-06-16,Cisai ST Aubin,0,0,226,BICHES FESTIVAL,http://www.biches-festival.fr/,18,143,3
185,2024-12-16,2024-03-03,STRASBOURG,0,0,58,Biennale dart contemporain de Strasbourg,http://biennale-strasbourg.eu/,22,144,16
186,2024-05-03,2024-07-13,VERSAILLES,0,0,298,Biennale d'architecture et de paysage à Versailles,http://bap-idf.com/,33,145,29
187,2024-07-08,2024-09-24,ST FLOUR,0,0,277,Biennale d'art contemporain Chemin d'art,http://www.chemindart.fr/,13,146,16
188,2024-08-25,2024-11-05,ANGLET,0,0,224,Biennale d'art contemporain d'Anglet,http://www.lalittorale.anglet.fr/,27,147,16
189,2024-09-30,2024-12-03,RENNES,0,0,204,Biennale d'art contemporain de Rennes,,24,112,16
190,2024-03-21,2024-04-19,VITRY SUR SEINE,0,0,156,Biennale de danse du Val-de-Marne,http://www.alabriqueterie.com/fr/,23,148,17
191,2024-06-03,2024-09-03,MULHOUSE,0,0,259,Biennale de la Photographie de Mulhouse,http://www.biennale-photo-mulhouse.com/2018/,28,149,30
192,2024-09-18,2025-01-15,LYON,0,0,291,Biennale de Lyon (Arts plastiques),http://www.labiennaledelyon.com/,30,9,16
193,2024-09-12,2024-10-01,LYON,0,0,152,Biennale de Lyon (Danse),www.biennaledeladanse.com,32,9,17
194,2024-05-03,2024-05-29,PARIS,0,0,84,Biennale des Arts de la Marionnette,http://lemouffetard.com/,14,35,21
195,2024-05-01,2024-05-31,CHAUMONT,0,0,96,Biennale du design graphique,http://www.centrenationaldugraphisme.fr/fr/cig/,34,150,31
196,2024-09-06,2024-09-08,TOULOUSE,0,0,215,Biennale européenne des patrimoines,https://www.labiennale.fr/,28,1,32
197,2024-01-12,2024-02-11,MARSEILLE,0,0,114,Biennale Internationale des Arts du Cirque Provence Alpes Côte dAzur (BIAC),http://www.biennale-cirque.com/fr/,14,2,26
198,2024-11-01,2024-11-30,CRETEIL,0,0,246,Biennale internationale des poètes,http://www.biennaledespoetes.fr/,32,151,33
199,2024-03-21,2024-04-22,ST ETIENNE,0,0,228,Biennale internationale du design de Saint-Étienne,,35,5,31
200,2024-09-22,2024-09-23,BAGNERES DE BIGORRE,0,0,58,BIG BAG FESTIVAL,http://www.bigbagfestival.com,32,152,3
201,2024-10-13,2024-10-14,La Plaine ST Denis,0,0,157,BIG BANG FESTIVAL,www.marvellous-island.fr,21,33,3
201,2024-10-13,2024-10-14,La Plaine ST Denis,0,0,157,BIG BANG FESTIVAL,www.marvellous-island.fr,21,153,3
202,2024-06-07,2024-06-09,RENNES,0,0,211,BIG LOVE,http://crabcakecorporation.com,28,112,3
204,2024-08-31,2024-08-31,RAMONVILLE ST AGNE,0,0,219,BIKINI FEST,http://www.lebikini.com,23,155,3
205,2024-07-28,2024-07-30,BINIC,0,0,261,BINIC FOLK BLUES FESTIVAL,www.binic-folks-blues-festival.com,15,156,7
206,2024-10-13,2024-11-04,ANNECY,0,0,163,BIRTHDAY FESTIVAL,https://fr-fr.facebook.com/birthdayfestival/,17,51,3
206,2024-10-13,2024-11-04,ANNECY,0,0,163,BIRTHDAY FESTIVAL,https://fr-fr.facebook.com/birthdayfestival/,17,712,3
207,2024-07-13,2024-07-16,PARIS,0,0,291,BITTER SWEET (PARADISE) FESTIVAL,www.baladessonores.com,30,35,5
208,2024-09-01,2024-09-02,BRAUD ET ST LOUIS,0,0,111,BLACK BASS FESTIVAL,www.blackbassfestival.com,8,157,3
209,2024-02-02,2024-02-03,CHATEAUROUX,0,0,248,BLIZZARD FESTIVAL,,27,158,3
210,2024-05-02,2024-05-04,CIRAL,0,0,172,BLIZZ'ART FESTIVAL,http://blizzartfestival.com/,10,159,2
211,2024-02-02,2024-02-04,Fleury sur Orne,0,0,251,Bloody Fleury,http://bloody.fleurysurorne.fr/,31,160,34
212,2024-05-31,2024-06-02,AUDINCOURT,0,0,131,Bloody week end,https://bloodyweekend.fr/,31,161,35
213,2024-05-17,2024-05-17,ST PIERRE DU PERRAY,0,0,199,BLUES À SENART EN ESSONNE,www.bluesasenart.com,35,162,7
214,2024-08-17,2024-08-20,La Cheze,0,0,156,Blues au Château,http://www.bluesauchateau.com/,26,163,7
215,2024-03-15,2024-03-23,BEAUVAIS,0,0,103,BLUES AUTOUR DU ZINC,www.zincblues.com,24,164,7
216,2024-10-07,2024-12-03,CLEON,0,0,222,BLUES DE TRAVERSE,www.latraverse.org,27,165,7
217,2024-10-06,2024-10-07,BELLE ISLE EN TERRE,0,0,295,BLUES DES DEUX RIVIERES,www.festival-blues-bretagne.fr,19,166,7
218,2024-08-26,2024-08-26,ST LAMBERT DU LATTAY,0,0,130,BLUES EN CHENIN,www.bluesenchenin.com,17,167,7
219,2024-08-19,2024-08-26,La Charite sur Loire,0,0,266,Blues en Loire,,17,168,7
220,2024-03-08,2024-03-29,WATTRELOS,0,0,83,BLUES EN MARS,https://www.wattrelos-tourisme.com/fr/,21,169,7
