id_etape,id_lieu,id_covoiturage,duree_depuis_depart,prix_etape
132,3891,50,0,8
133,7277,51,0,19
134,1750,51,153,5
135,2495,51,352,4
136,6932,51,417,18
137,4329,51,504,3
138,4513,52,0,12
139,461,52,318,6
140,4513,52,358,11
141,35,52,470,10
142,4809,52,474,2
143,4678,53,0,20
144,1773,53,369,15
145,2215,53,459,6
146,3509,54,0,14
147,4460,54,413,6
148,1438,54,445,7
149,3826,54,507,2
150,3781,54,621,3
151,4246,55,0,13
152,4007,55,297,12
153,3821,55,412,7
154,1400,55,478,8
155,999,56,0,6
156,7258,56,408,10
157,2401,56,476,10
158,4514,57,0,11
159,3774,57,324,17
160,1011,57,482,14
161,485,58,0,9
162,2049,58,422,3
163,6299,58,622,9
164,1977,58,725,14
165,4460,58,743,3
166,3825,59,0,15
167,6327,60,0,12
168,4472,60,93,3
169,7090,60,167,6
170,7047,60,217,9
171,3513,61,0,4
172,3768,61,507,3
173,4809,61,511,7
174,7110,62,0,20
175,6938,62,547,3
176,3707,62,708,2
177,4519,62,830,9
178,2430,62,918,19
179,3702,63,0,20
180,6444,63,445,4
181,3679,63,526,13
182,3853,63,592,11
183,3733,63,637,4
184,3744,64,0,7
185,2499,64,497,18
186,3983,64,610,15
187,3439,64,744,20
188,2499,64,771,5
189,6930,65,0,10
190,3750,66,0,11
191,6378,66,624,9
192,3743,66,633,3
193,4533,66,690,5
194,3736,67,0,15
195,1694,67,514,18
196,1771,67,626,4
197,4792,68,0,8
198,2464,68,343,5
199,1761,69,0,10
200,5866,69,610,8
201,3987,69,686,3
202,7073,69,857,3
203,4530,70,0,17
204,651,70,293,9
205,1692,71,0,6
206,3724,72,0,20
207,4300,72,172,6
208,4315,72,187,7
209,3985,72,205,7
210,5306,72,378,3
211,6938,73,0,3
212,3679,73,348,11
213,126,73,493,5
214,1149,73,644,2
215,1923,73,689,6
216,1011,74,0,16
217,4751,74,183,7
218,84,75,0,16
219,1749,75,648,2
220,3850,75,829,8
221,1734,76,0,8
222,4683,76,377,10
223,1365,76,473,3
224,68,76,489,2
225,3513,77,0,9
226,589,77,356,7
227,5867,77,395,6
228,3895,77,516,5
229,198,77,659,9
230,651,78,0,19
231,3852,78,160,3
232,137,78,219,17
233,5960,79,0,13
234,4460,79,184,17
235,7252,79,320,3
236,6884,79,414,7
237,461,80,0,19
238,1396,81,0,18
239,1396,81,613,2
240,1780,82,0,20
241,3651,82,404,3
242,5811,82,542,2
243,3714,82,632,3
244,2612,83,0,20
245,3742,83,530,5
246,3728,84,0,5
247,3751,84,327,4
248,3825,84,360,10
249,3736,85,0,4
250,6657,85,627,11
251,6042,85,761,6
252,3736,86,0,14
253,2048,86,245,5
254,4315,86,339,6
255,651,87,0,14
256,1364,88,0,11
257,7081,88,210,9
258,3896,88,248,15
259,3710,89,0,14
260,7278,90,0,7
261,3726,90,508,2
262,2049,91,0,6
263,3744,91,241,9
264,6138,91,398,5
265,3826,91,572,3
266,3369,91,772,12
267,3737,92,0,18
268,4813,92,486,3
269,4007,92,535,12
270,6716,92,670,11
271,3708,93,0,15
272,7252,93,288,12
273,7253,93,327,10
274,4774,94,0,11
275,3780,94,580,6
276,3986,95,0,15
277,3029,95,354,3
278,1993,96,0,18
279,3747,96,679,8
280,1775,96,693,5
281,3820,97,0,14
282,3682,97,252,3
283,3,97,439,13
284,3325,97,627,11
285,6278,98,0,17
286,4750,98,385,10
287,7003,98,513,7
288,7255,98,544,3
289,3773,98,596,7
290,1753,99,0,17
291,7074,99,155,3
292,7271,99,216,12
293,2049,100,0,4
294,81,100,264,2
295,2431,100,381,10
296,7047,101,0,3
297,3749,101,249,4
298,6773,101,287,2
299,7267,102,0,11
300,3964,102,396,7
301,4519,102,458,5
302,4702,102,558,5
303,3928,102,614,10
304,1806,103,0,6
305,6139,103,320,2
306,4514,103,406,5
307,5941,103,598,4
308,76,104,0,9
309,3721,104,287,5
310,7265,104,476,7
311,805,104,486,12
312,5882,104,675,2
313,2547,105,0,18
314,4531,106,0,7
315,7074,106,286,3
316,3761,106,475,2
317,7284,106,588,6
318,7272,107,0,19
319,4460,108,0,4
320,7019,108,564,4
321,3720,109,0,7
322,6139,110,0,4
323,4514,110,350,3
324,3735,110,520,3
325,945,110,645,6
326,945,110,761,8
327,6884,111,0,18
328,459,111,557,7
329,7253,111,716,4
330,3882,111,780,16
331,5811,112,0,16
332,4523,112,566,10
333,1438,112,680,4
334,3783,112,827,4
335,6823,113,0,19
336,3883,113,446,2
337,7265,113,610,7
338,4586,113,748,3
339,3778,114,0,17
340,3651,114,409,9
341,6079,114,485,2
342,3963,114,636,2
343,3884,114,800,4
344,3,115,0,17
345,4678,115,654,3
346,7272,115,749,9
347,81,116,0,7
348,4527,117,0,12
349,7081,117,532,4
350,4503,117,720,2
351,3754,117,875,2
352,7082,118,0,20
353,5807,118,205,17
354,4517,118,320,7
355,6689,118,495,16
356,5739,118,690,14
357,4532,119,0,13
358,6932,119,532,8
359,484,119,674,2
360,3988,119,818,4
361,1398,119,862,2
362,4532,120,0,16
363,3985,120,465,5
364,2465,121,0,17
365,4536,121,50,13
366,2505,121,60,18
367,6656,121,202,5
368,1076,122,0,5
369,4525,122,149,9
370,6760,122,289,2
371,3503,122,472,16
372,3871,123,0,10
373,156,123,409,4
374,6293,123,515,7
375,4524,123,711,6
376,6760,123,742,3
377,4559,124,0,13
378,3725,124,638,4
379,485,124,789,5
380,3637,124,858,11
381,485,124,1015,4
382,459,125,0,7
383,4515,125,265,11
384,7020,125,295,10
385,3785,126,0,9
386,34,127,0,12
387,3651,128,0,5
388,3988,128,141,3
389,3891,129,0,17
390,3747,129,479,6
391,3711,129,674,6
392,6376,129,802,3
393,4526,130,0,13
394,3704,130,405,9
395,6875,130,598,3
396,3764,130,751,7
397,3889,131,0,17
398,3732,131,526,11
399,6716,131,688,7
400,3701,131,813,2
401,3774,132,0,9
402,5992,132,628,4
403,3752,133,0,9
404,6702,133,278,10
405,3514,133,402,6
406,2547,134,0,16
407,7283,134,365,4
408,6299,134,405,3
409,3845,134,504,11
410,3852,134,536,5
411,3656,135,0,9
412,3738,136,0,4
413,4394,136,597,11
414,5810,136,722,10
415,1149,137,0,16
416,4809,137,410,2
417,7109,138,0,9
418,3927,138,121,20
419,4116,138,168,2
420,7004,139,0,19
421,2144,139,137,2
422,4530,139,242,5
423,5960,140,0,3
424,1011,140,469,2
425,3872,141,0,17
426,7284,141,414,7
427,4586,141,602,10
428,3503,142,0,10
429,4659,142,495,7
430,909,142,624,17
431,7017,143,0,19
432,3820,143,462,3
433,3872,144,0,7
434,4856,144,498,4
435,459,144,510,3
436,6111,144,511,11
437,3704,145,0,10
438,1990,145,569,3
439,57,145,702,12
440,6172,145,855,2
441,7275,145,871,3
442,7091,146,0,19
443,7264,147,0,18
444,6417,148,0,13
445,1727,148,340,4
446,3444,149,0,17
447,3762,149,379,13
448,7275,150,0,19
449,3469,150,188,6
450,6280,150,365,8
451,4461,150,443,9
452,4764,150,458,7
453,3606,151,0,10
454,3761,151,270,3
455,6938,152,0,3
456,4750,152,295,5
457,7081,152,336,7
458,3778,153,0,12
459,6935,153,216,2
460,1191,153,409,7
461,7108,153,585,11
462,4773,154,0,14
463,5992,155,0,15
464,3250,155,248,2
465,7403,156,0,12
466,2586,156,514,6
467,3325,156,600,5
468,6773,156,774,6
469,3605,156,848,12
470,6329,157,0,6
471,3977,157,521,7
472,3747,157,642,7
473,3715,157,786,8
474,4750,157,868,2
475,3881,158,0,10
476,3485,158,570,6
477,3963,158,636,3
478,1984,158,787,6
479,5338,159,0,3
480,460,159,14,5
481,3820,159,78,5
482,4685,159,165,8
483,3784,159,354,6
484,7281,160,0,3
485,68,160,419,18
486,3928,160,597,2
487,3825,160,685,5
488,4672,160,835,5
489,4526,161,0,16
490,7004,162,0,15
491,4294,162,129,11
492,4587,163,0,13
493,4531,163,292,3
494,459,163,315,3
495,6279,163,386,9
496,3988,163,512,3
497,6930,164,0,8
498,7269,165,0,12
499,3748,165,350,7
500,3767,166,0,14
501,7257,166,334,14
502,7275,166,358,4
503,7047,166,455,10
504,7089,167,0,4
505,6327,167,591,9
506,3717,167,698,3
507,3883,167,814,7
508,3485,167,978,10
509,3817,168,0,12
510,6355,168,553,4
511,3985,168,606,5
512,7403,168,700,4
513,3827,169,0,19
514,1222,169,315,8
515,7274,169,436,8
516,3871,170,0,17
517,3891,171,0,13
518,3739,171,423,2
519,4533,171,444,11
520,3627,171,523,2
521,3730,171,654,3
522,1075,172,0,5
523,4773,172,271,6
524,4510,172,350,10
525,1751,173,0,19
526,3721,173,622,8
527,1240,173,754,14
528,1922,174,0,17
529,1773,174,213,12
530,4856,174,281,8
531,84,175,0,17
532,3250,175,109,16
533,6042,175,252,17
534,3606,176,0,3
535,6883,177,0,17
536,2051,177,280,7
537,1990,178,0,15
538,3756,178,298,4
539,3855,178,479,7
540,613,178,646,14
541,7045,179,0,15
542,3818,179,376,8
543,6875,179,500,10
544,7019,179,672,9
545,4544,180,0,15
546,4585,180,510,11
547,6937,180,541,3
548,4809,181,0,15
549,1692,182,0,6
550,5805,183,0,4
551,4685,184,0,7
552,7042,184,506,10
553,4787,185,0,10
554,7109,185,74,14
555,3510,185,161,4
556,6868,185,181,3
557,461,185,233,9
558,7162,186,0,13
559,5867,186,467,8
560,3701,186,644,6
561,1922,187,0,20
562,4133,187,205,4
563,4531,187,210,6
564,3743,187,309,6
565,84,187,486,6
566,63,188,0,7
567,5811,188,223,9
568,4472,188,324,2
569,4379,189,0,11
570,4300,189,522,12
571,4856,189,712,5
572,480,189,836,2
573,3368,189,862,9
574,1923,190,0,7
575,4764,191,0,17
576,2612,192,0,12
577,3741,192,650,8
578,3712,192,655,6
579,3976,192,839,7
580,4839,193,0,3
581,2674,193,214,6
582,5807,193,297,15
583,1734,193,373,2
584,1397,194,0,17
585,2495,194,401,7
586,4527,195,0,5
587,7276,195,159,7
588,1261,196,0,17
589,6299,196,385,3
590,1263,196,566,2
591,3986,196,719,5
592,7256,197,0,9
593,3963,197,434,5
594,4379,197,485,3
595,3681,197,597,4
596,1076,198,0,14
597,6387,198,157,3
598,3444,198,200,2
599,3756,198,223,10
600,5835,199,0,14
601,1149,199,219,9
602,3887,199,335,10
603,3736,199,339,7
604,3591,199,419,14
605,3822,200,0,10
606,6153,200,178,4
607,1990,200,289,9
608,1362,201,0,16
609,3030,201,187,8
610,1075,201,243,3
611,1734,202,0,3
612,3895,202,243,2
613,155,202,396,3
614,7284,202,545,15
615,1735,202,554,9
616,6873,203,0,3
617,2495,204,0,13
618,4528,204,451,5
619,3680,204,494,10
620,68,204,569,8
621,6079,205,0,20
622,7277,205,306,5
623,7365,205,337,11
624,3709,205,496,6
625,2674,206,0,4
626,4007,206,685,13
627,3592,207,0,5
628,5834,207,267,2
629,4503,207,372,7
630,3925,207,502,8
631,5992,207,525,6
632,5796,208,0,14
633,3820,208,250,11
634,3736,208,297,11
635,4722,208,311,2
636,3512,209,0,4
637,6935,209,549,6
638,5942,209,730,12
639,4562,209,757,3
640,3744,210,0,13
641,3629,210,504,9
642,2505,211,0,13
643,4458,211,12,8
644,1811,211,50,6
645,4528,212,0,17
646,1694,212,186,3
647,7045,212,288,2
648,4856,212,293,3
649,3325,213,0,6
650,3680,214,0,16
651,613,215,0,5
652,3773,215,373,4
653,3592,216,0,16
654,3681,216,302,8
655,4520,216,429,12
656,3706,216,534,3
657,6292,217,0,19
658,6111,217,408,3
659,1710,217,517,5
660,3627,218,0,10
661,4683,218,539,4
662,7081,218,580,9
663,4329,218,601,5
664,6936,218,752,3
665,4588,219,0,11
666,3751,219,235,12
667,7264,219,375,6
668,5805,219,551,7
669,3781,219,648,3
670,3439,220,0,5
671,7286,221,0,17
672,7274,221,631,5
673,3656,221,823,10
674,4516,221,934,9
675,7501,222,0,11
676,2,222,604,2
677,909,222,773,7
678,4472,222,803,12
679,1749,222,987,11
680,3709,223,0,10
681,3504,224,0,8
682,3763,224,437,4
683,2401,225,0,11
684,3784,225,60,2
685,4623,225,238,6
686,7081,225,282,5
687,3735,226,0,9
688,63,227,0,8
689,4260,228,0,15
690,4750,228,447,9
691,2,228,450,6
692,3785,228,531,2
693,1761,228,698,14
694,2091,229,0,9
695,3680,229,579,5
696,3871,229,717,7
697,5811,230,0,13
698,4809,230,353,5
699,6937,231,0,15
700,7105,232,0,4
701,613,232,120,19
702,7110,232,237,9
703,3720,233,0,9
704,4550,233,364,4
705,76,233,491,10
706,3754,233,546,5
707,7502,234,0,13
708,7107,234,574,11
709,613,235,0,15
710,3925,235,449,13
711,7258,235,526,9
712,35,235,669,9
713,3709,235,679,8
714,4394,236,0,8
715,6379,236,623,10
716,3655,237,0,4
717,3513,238,0,5
718,5834,238,214,2
719,7089,238,384,4
720,4522,238,420,12
721,3750,238,473,6
722,132,239,0,8
723,1149,240,0,12
724,1806,240,207,7
725,4459,240,233,4
726,7276,240,354,2
727,4260,240,404,9
728,3369,241,0,7
729,3627,242,0,7
730,4524,242,383,3
731,3747,242,523,10
732,7288,242,636,11
733,7253,242,832,13
734,7162,243,0,8
735,3707,243,167,11
736,3818,244,0,9
737,3703,245,0,4
738,4328,245,74,6
739,5739,245,89,6
740,3786,245,184,5
741,477,246,0,3
742,1774,246,422,2
743,7281,246,501,12
744,4813,246,664,17
745,3779,246,677,11
746,6875,247,0,13
747,3756,247,208,5
748,1750,247,228,2
749,1173,248,0,18
750,3851,248,512,14
751,4300,248,632,2
752,477,248,662,8
753,3827,248,681,12
754,4510,249,0,13
755,34,249,230,10
756,3,249,294,3
757,7107,249,324,7
758,5879,249,498,13
759,1734,250,0,9
760,3708,250,102,3
761,3716,250,263,2
762,3739,250,282,3
763,4527,250,287,6
764,64,251,0,17
765,3779,251,336,5
766,180,251,338,8
767,3743,251,396,19
768,3927,252,0,13
769,3753,252,138,3
770,3821,252,234,13
771,589,252,338,4
772,7365,253,0,6
773,4813,253,594,7
774,3779,254,0,4
775,3655,254,261,6
776,1774,254,452,14
777,7403,255,0,17
778,1811,255,285,4
779,3756,255,431,2
780,4787,256,0,15
781,3751,257,0,10
782,3759,257,178,3
783,1751,258,0,19
784,4458,258,236,5
785,156,258,350,11
786,4328,258,489,14
787,3871,259,0,19
788,3746,259,228,14
789,3512,259,269,17
790,5796,260,0,6
791,5810,260,274,5
792,3711,261,0,19
793,7044,261,586,14
794,3229,261,731,5
795,162,261,928,14
796,805,262,0,8
797,7074,262,433,4
798,4513,262,575,7
799,7287,262,577,2
800,4542,262,674,14
801,6875,263,0,4
802,6883,263,487,8
803,2,264,0,3
804,6768,264,448,4
805,3606,264,538,2
806,5994,264,703,15
807,7254,264,808,12
808,3776,265,0,16
809,5810,265,384,4
810,7502,266,0,20
811,3780,266,63,3
812,1396,266,131,3
813,7268,266,205,8
814,3739,266,334,18
815,3733,267,0,4
816,3717,267,688,11
817,84,268,0,11
818,3753,268,425,5
819,7424,269,0,13
820,3716,270,0,6
821,187,270,212,4
822,7269,270,343,5
823,1750,270,411,6
824,1753,271,0,7
825,2,271,313,4
826,3716,271,466,6
827,485,271,491,2
828,4524,272,0,3
829,1075,272,251,12
830,3984,272,299,14
831,4543,272,438,5
832,7089,272,442,5
833,4774,273,0,11
834,5338,273,264,11
835,1751,273,275,6
836,4460,273,279,17
837,3716,273,373,13
838,3895,274,0,16
839,7268,274,233,12
840,6329,274,369,9
841,5739,275,0,18
842,4560,276,0,10
843,7047,277,0,10
844,6689,277,488,4
845,140,277,620,7
846,4514,277,795,11
847,3726,277,850,4
848,3325,278,0,15
849,945,279,0,8
850,3747,279,397,5
851,4537,279,465,4
852,1053,280,0,7
853,3514,280,553,16
854,3706,280,737,4
855,3637,281,0,11
856,1993,282,0,4
857,4300,282,129,5
858,3821,282,135,7
859,6998,283,0,19
860,3325,283,200,5
861,7277,283,277,5
862,7283,283,435,5
863,5961,284,0,3
864,4512,284,220,2
865,5810,284,249,4
866,6139,284,313,18
867,68,284,342,7
868,7270,285,0,20
869,3773,286,0,17
870,651,286,388,6
871,3759,286,566,8
872,3855,286,684,5
873,589,287,0,20
874,3926,287,408,11
875,6936,288,0,3
876,3927,288,198,16
877,2499,289,0,11
878,2505,289,395,7
879,5941,289,472,7
880,5796,289,546,12
881,156,290,0,11
882,6417,290,170,12
883,1148,290,177,7
884,3926,290,367,2
885,3756,290,377,10
886,3850,291,0,8
887,5338,291,586,9
888,126,292,0,5
889,2430,292,236,2
890,4116,292,399,9
891,1749,292,566,10
892,4585,293,0,16
893,4586,293,244,4
894,1922,293,313,2
895,4774,293,381,3
896,7288,294,0,19
897,1364,294,624,3
898,63,294,624,10
899,1149,294,719,5
900,7109,295,0,13
901,1774,295,186,4
902,5796,296,0,9
903,3681,296,264,2
904,5867,296,283,3
905,4543,297,0,7
906,3826,297,170,16
907,4747,297,328,17
908,6329,298,0,6
909,3891,298,575,14
910,3848,298,600,5
911,3718,299,0,11
912,3748,299,93,6
913,4542,299,143,9
914,3853,299,194,7
915,3592,299,387,4
916,7107,300,0,6
917,5941,300,295,3
918,6280,300,349,3
919,6935,300,458,4
920,6417,300,637,15
921,4524,301,0,10
922,6355,301,507,15
923,4141,301,602,4
924,3741,302,0,12
925,6387,302,653,2
926,3708,303,0,6
927,7259,304,0,11
928,6823,305,0,6
929,4521,306,0,16
930,3368,306,445,3
931,4520,306,465,3
932,7252,306,605,5
933,6938,307,0,19
934,6279,308,0,4
935,1365,309,0,10
936,6329,309,375,12
937,6998,309,401,9
938,68,309,530,5
939,7258,310,0,6
940,4559,310,244,7
941,1400,310,329,4
942,5807,310,396,12
943,3723,310,549,5
944,7277,311,0,8
945,2872,311,315,6
946,6355,311,416,2
947,1752,312,0,10
948,3743,312,103,8
949,4514,312,300,14
950,3739,312,324,3
951,96,313,0,8
952,3717,314,0,10
953,3716,315,0,4
954,3591,315,428,6
955,4589,316,0,19
956,6868,316,198,9
957,7042,317,0,8
958,3726,317,346,4
959,3751,317,439,4
960,6760,317,577,5
961,3853,318,0,4
962,1076,318,469,6
963,3820,318,514,2
964,7017,318,646,13
965,3887,319,0,16
966,2051,319,539,9
967,3976,320,0,10
968,1725,321,0,6
969,3881,321,488,2
970,6355,321,527,10
971,3444,321,632,13
972,126,322,0,3
973,3782,322,346,3
974,3785,322,497,5
975,3707,322,666,17
976,3771,322,723,5
977,7047,323,0,5
978,1077,323,249,2
979,5810,323,275,3
980,6328,324,0,9
981,4315,324,121,9
982,3779,324,318,4
983,3702,325,0,15
984,6378,326,0,16
985,4458,326,589,2
986,3513,327,0,14
987,3487,327,204,3
988,4394,327,260,6
989,6773,327,366,2
990,5796,327,458,13
991,5941,328,0,19
992,3871,328,559,7
993,3760,328,716,5
994,4527,329,0,12
995,7073,329,201,5
996,1751,330,0,10
997,3978,330,129,3
998,6879,330,236,4
999,7262,330,266,4
1000,4523,330,406,7
1001,3769,331,0,11
1002,1737,331,436,11
1003,4544,331,495,10
1004,3825,331,506,3
1005,158,332,0,6
1006,3749,332,445,3
1007,6938,332,537,3
1008,4518,332,701,17
1009,6929,332,789,9
1010,2673,333,0,19
1011,6064,333,276,3
1012,6327,333,320,14
1013,6356,333,368,2
1014,4751,334,0,12
1015,6329,334,465,12
1016,1790,334,660,6
1017,4300,334,729,15
1018,7403,335,0,5
1019,2872,335,234,3
1020,4300,335,386,8
1021,477,335,403,6
1022,461,336,0,17
1023,2049,337,0,12
1024,1992,338,0,6
1025,4525,339,0,14
1026,7271,339,186,6
1027,64,339,254,7
1028,3927,340,0,6
1029,1984,340,540,3
1030,4533,340,548,8
1031,2465,341,0,11
1032,4774,341,170,5
1033,3487,341,188,4
1034,1751,342,0,5
1035,4856,342,63,3
1036,1994,342,87,7
1037,140,343,0,18
1038,7271,343,351,4
1039,3818,343,459,5
1040,3750,344,0,12
1041,1993,344,271,7
1042,3781,344,320,2
1043,1992,344,360,2
1044,2401,344,483,6
1045,7282,345,0,19
1046,3822,346,0,20
1047,3763,346,659,3
1048,4299,346,663,5
1049,1694,346,781,3
1050,1011,346,911,2
1051,6772,347,0,8
1052,1364,347,79,14
1053,3817,347,176,13
1054,7017,347,187,8
1055,3704,347,217,12
1056,3892,348,0,6
1057,3881,348,611,4
1058,5338,348,640,18
1059,4562,348,712,6
1060,4460,349,0,15
1061,3761,349,288,2
1062,7403,349,422,10
1063,5795,349,463,4
1064,1771,349,599,9
1065,3759,350,0,5
1066,3886,350,600,2
1067,4458,350,616,10
1068,3985,351,0,9
1069,5982,352,0,14
1070,3712,352,604,4
1071,140,353,0,7
1072,3701,353,165,14
1073,2612,353,213,3
1074,3715,353,244,3
1075,3928,353,287,14
1076,1806,354,0,13
1077,84,354,277,6
1078,5810,354,358,4
1079,999,354,389,8
1080,7276,354,389,18
1081,3749,355,0,5
1082,6139,355,497,7
1083,3821,355,520,2
1084,3680,356,0,6
1085,4623,356,466,3
1086,1420,357,0,14
1087,4752,357,209,6
1088,4585,357,231,6
1089,3728,358,0,14
1090,4525,359,0,14
1091,7288,360,0,19
1092,3765,360,266,11
1093,4294,361,0,10
1094,3963,362,0,12
1095,7270,362,205,8
1096,3827,362,394,12
1097,1923,363,0,10
1098,5796,363,581,2
1099,7003,363,718,4
1100,7265,363,726,4
1101,4535,363,819,3
1102,2673,364,0,9
1103,3469,364,440,2
1104,6376,364,637,5
1105,4751,364,662,2
1106,7041,365,0,14
1107,4549,365,378,2
1108,6417,365,485,8
1109,1773,365,497,7
1110,6935,366,0,17
1111,2586,366,229,10
1112,137,366,277,5
1113,798,366,373,13
1114,7265,367,0,4
1115,613,368,0,16
1116,1922,369,0,4
1117,3748,369,152,3
1118,2499,369,152,2
1119,4721,369,247,7
1120,3892,370,0,5
1121,2495,371,0,15
1122,7262,371,292,2
1123,3512,371,455,2
1124,6168,372,0,8
1125,5796,373,0,16
1126,480,373,470,10
1127,999,374,0,4
1128,4513,375,0,19
1129,5810,375,692,6
1130,1748,376,0,4
1131,3711,377,0,18
1132,6111,377,235,2
1133,3764,377,367,6
1134,7255,378,0,4
1135,5810,378,628,3
1136,3778,379,0,18
1137,6066,380,0,12
1138,3757,380,160,12
1139,7268,380,359,4
1140,3712,380,518,2
1141,7257,380,707,10
1142,7279,381,0,16
1143,1384,382,0,6
1144,2051,382,544,3
1145,3760,382,630,10
1146,3761,383,0,3
1147,7289,383,371,8
1148,6876,383,480,3
1149,4543,383,559,11
1150,1191,384,0,14
1151,3712,384,99,10
1152,3785,384,198,3
1153,5833,385,0,15
1154,4116,385,107,5
1155,34,385,265,6
1156,6356,386,0,12
1157,5306,386,339,3
1158,4532,387,0,10
1159,2493,387,200,11
1160,6064,387,306,3
1161,3984,387,349,7
1162,1400,387,511,2
1163,1420,388,0,10
1164,3637,388,341,7
1165,484,389,0,15
1166,5739,389,487,14
1167,1727,390,0,10
1168,6293,390,352,9
1169,2528,390,528,2
1170,7269,390,552,2
1171,3485,390,752,15
1172,4460,391,0,5
1173,6702,392,0,4
1174,6657,392,437,8
1175,4787,392,460,10
1176,7162,392,658,7
1177,156,393,0,14
1178,2674,393,181,19
1179,1400,393,380,4
1180,3986,393,533,3
1181,4513,394,0,9
1182,5818,394,297,8
1183,3708,394,320,12
1184,6417,394,363,3
1185,5794,394,472,8
1186,7270,395,0,8
1187,6689,395,551,4
1188,3487,395,604,3
1189,3854,396,0,17
1190,3983,396,47,7
1191,4461,396,221,3
1192,6800,397,0,19
1193,7274,397,487,9
1194,3511,397,547,5
1195,3782,397,583,2
1196,3773,398,0,17
1197,7091,398,400,3
1198,3773,398,558,8
1199,7073,399,0,10
1200,6066,399,230,3
1201,7290,399,396,2
1202,6935,399,530,2
1203,1011,400,0,14
1204,3777,401,0,3
1205,1417,401,563,10
1206,4773,401,589,5
1207,4531,401,727,8
1208,2144,402,0,3
1209,3592,403,0,12
1210,3768,404,0,5
1211,3885,404,604,5
1212,126,405,0,18
1213,7269,406,0,20
1214,2674,407,0,15
1215,4516,407,325,2
1216,4587,407,489,3
1217,6868,407,681,4
1218,4549,407,817,11
1219,798,408,0,8
1220,3822,408,292,19
1221,3889,408,343,7
1222,7257,408,357,6
1223,4624,409,0,15
1224,7256,409,378,2
1225,7089,409,441,3
1226,3786,409,528,9
1227,4299,410,0,15
1228,6928,411,0,7
1229,1990,411,388,19
1230,4460,411,558,6
1231,5972,411,614,5
1232,3963,412,0,9
1233,1384,412,528,9
1234,3720,412,701,5
1235,3885,412,844,13
1236,4524,412,946,9
1237,4476,413,0,9
1238,5972,413,641,8
1239,6655,413,821,7
1240,1806,413,980,3
1241,1750,413,1005,8
1242,4511,414,0,12
1243,7502,414,410,6
1244,7110,414,418,10
1245,3822,414,584,13
1246,7273,415,0,17
1247,805,416,0,5
1248,4133,417,0,17
1249,7020,417,370,6
1250,6773,417,372,3
1251,4721,417,529,5
1252,4550,418,0,13
